Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
09/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,6000,2500,5250,Gujarat,Capsicum
12/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,6000,2500,4850,Gujarat,Capsicum
22/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4000,2000,3750,Gujarat,Capsicum
23/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4500,2000,3850,Gujarat,Capsicum
29/07/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,5000,2000,4600,Gujarat,Capsicum
05/07/2024,Bhindi(Ladies Finger),85,Ahmedabad,FAQ,Ahmedabad,7000,3000,5750,Gujarat,Other
08/07/2024,French Beans (Frasbean),298,Ahmedabad,FAQ,Ahmedabad,15000,10000,14500,Gujarat,Other
15/07/2024,French Beans (Frasbean),298,Ahmedabad,FAQ,Ahmedabad,11000,7000,9750,Gujarat,Other
25/07/2024,French Beans (Frasbean),298,Ahmedabad,FAQ,Ahmedabad,9000,5000,7500,Gujarat,Other
13/07/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,8000,7000,7650,Gujarat,Other
25/07/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,7000,6000,6400,Gujarat,Other
01/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,6000,2800,4250,Gujarat,Other
11/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,3500,2000,2850,Gujarat,Other
12/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,3000,2000,2350,Gujarat,Other
23/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,3500,1500,3100,Gujarat,Other
25/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,4500,2500,4000,Gujarat,Other
29/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,4000,2500,3500,Gujarat,Other
30/07/2024,Pointed gourd (Parval),303,Ahmedabad,FAQ,Ahmedabad,4500,2500,4200,Gujarat,Other
12/07/2024,Surat Beans (Papadi),300,Ahmedabad,FAQ,Ahmedabad,5000,4500,4750,Gujarat,Other
02/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1500,1000,1350,Gujarat,Other
10/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1500,1000,1300,Gujarat,Other
12/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1500,1000,1250,Gujarat,Other
19/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1300,1000,1250,Gujarat,Other
23/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,800,500,650,Gujarat,Other
24/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1000,500,650,Gujarat,Other
26/07/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,800,500,650,Gujarat,Other
03/07/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,6500,2500,3100,Gujarat,Other
05/07/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,6500,3000,3100,Gujarat,Other
06/07/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,7000,2500,2950,Gujarat,Other
05/07/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,4000,1000,2850,Gujarat,Other
06/07/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,4000,1000,2350,Gujarat,Other
12/07/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,5000,1200,2850,Gujarat,Other
02/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,6500,3500,5100,Gujarat,Other
04/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,7000,3000,5750,Gujarat,Other
05/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,7000,3000,5500,Gujarat,Other
06/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,7000,3000,5250,Gujarat,Other
11/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,6000,3000,5150,Gujarat,Other
23/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,8000,4500,6650,Gujarat,Other
26/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,4000,2500,3700,Gujarat,Other
27/07/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,4200,2500,3650,Gujarat,Other
16/07/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,3500,1500,2750,Gujarat,Other
23/07/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,3500,1000,1650,Gujarat,Other
01/07/2024,Bhindi(Ladies Finger),85,Ahmedabad,FAQ,Ahmedabad,5500,2000,4500,Gujarat,Other
04/07/2024,Bhindi(Ladies Finger),85,Ahmedabad,FAQ,Ahmedabad,7000,2500,5750,Gujarat,Other
20/07/2024,Bhindi(Ladies Finger),85,Ahmedabad,FAQ,Ahmedabad,4000,1500,2750,Gujarat,Other
08/07/2024,Amla(Nelli Kai),355,Ahmedabad,FAQ,Ahmedabad,7000,3000,6250,Gujarat,Other
05/07/2024,Colacasia,318,Ahmedabad,FAQ,Ahmedabad,4000,3500,3750,Gujarat,Other
20/07/2024,Colacasia,318,Ahmedabad,FAQ,Ahmedabad,4000,3500,3850,Gujarat,Other
24/07/2024,Colacasia,318,Ahmedabad,FAQ,Ahmedabad,4200,3800,4150,Gujarat,Other
27/07/2024,Colacasia,318,Ahmedabad,FAQ,Ahmedabad,4500,3800,4100,Gujarat,Other
01/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1400,1000,1300,Gujarat,Other
02/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1400,1000,1300,Gujarat,Other
04/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1300,1000,1250,Gujarat,Other
09/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1300,1000,1200,Gujarat,Other
12/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1300,800,1200,Gujarat,Other
19/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1300,1000,1250,Gujarat,Other
23/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1400,1200,1350,Gujarat,Other
25/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1400,1450,Gujarat,Other
31/07/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1600,1000,1500,Gujarat,Other
25/07/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,8000,6000,6500,Gujarat,Other
26/07/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,8000,5500,7250,Gujarat,Other
06/07/2024,Onion Green,358,Ahmedabad,FAQ,Ahmedabad,5000,3000,4500,Gujarat,Other
13/07/2024,Onion Green,358,Ahmedabad,FAQ,Ahmedabad,5500,2500,4500,Gujarat,Other
18/07/2024,Onion Green,358,Ahmedabad,FAQ,Ahmedabad,7000,2000,4750,Gujarat,Other
20/07/2024,Onion Green,358,Ahmedabad,FAQ,Ahmedabad,5000,1500,4500,Gujarat,Other
31/07/2024,Onion Green,358,Ahmedabad,FAQ,Ahmedabad,5000,2000,4000,Gujarat,Other
01/07/2024,Tinda,349,Ahmedabad,FAQ,Ahmedabad,2500,500,1350,Gujarat,Other
02/07/2024,Tinda,349,Ahmedabad,FAQ,Ahmedabad,3500,1000,2350,Gujarat,Other
03/07/2024,Tinda,349,Ahmedabad,FAQ,Ahmedabad,6000,1000,2950,Gujarat,Other
31/07/2024,Tinda,349,Ahmedabad,FAQ,Ahmedabad,5500,2000,4500,Gujarat,Other
05/07/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,11000,4000,7750,Gujarat,Other
10/07/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,10000,4500,7500,Gujarat,Other
16/07/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,10000,4500,6750,Gujarat,Other
22/07/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,9000,4000,7250,Gujarat,Other
25/07/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,8000,4000,6250,Gujarat,Other
02/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1200,1450,Gujarat,Other
03/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1000,1450,Gujarat,Other
08/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1000,1250,Gujarat,Other
10/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1000,1400,Gujarat,Other
12/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1400,1000,1350,Gujarat,Other
17/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1200,1450,Gujarat,Other
22/08/2024,Papaya (Raw),313,Ahmedabad,FAQ,Ahmedabad,1500,1000,1450,Gujarat,Other
01/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,7500,6500,7000,Gujarat,Other
02/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,8000,6500,7000,Gujarat,Other
06/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,8000,6000,6750,Gujarat,Other
03/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,5000,1500,4250,Gujarat,Other
07/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,7000,4000,6000,Gujarat,Other
12/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,6000,2500,4750,Gujarat,Other
16/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,6000,3000,5250,Gujarat,Other
22/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,8500,5000,7250,Gujarat,Other
30/08/2024,Lemon,310,Ahmedabad,FAQ,Ahmedabad,10000,5000,8250,Gujarat,Other
09/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,8000,3500,6000,Gujarat,Other
27/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,4500,3000,3800,Gujarat,Other
30/08/2024,Groundnut pods (raw),312,Ahmedabad,FAQ,Ahmedabad,6000,5000,5500,Gujarat,Other
05/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,3500,1500,3350,Gujarat,Other
06/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,3500,1000,2900,Gujarat,Other
09/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,3000,1200,2650,Gujarat,Other
19/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2500,1000,2100,Gujarat,Other
20/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2500,1000,2100,Gujarat,Other
24/07/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2300,800,1950,Gujarat,Other
16/07/2024,Brinjal,35,Ahmedabad,FAQ,Ahmedabad,2500,1000,1950,Gujarat,Other
22/07/2024,Brinjal,35,Ahmedabad,FAQ,Ahmedabad,2000,500,1650,Gujarat,Other
27/07/2024,Brinjal,35,Ahmedabad,FAQ,Ahmedabad,2000,500,1350,Gujarat,Other
30/07/2024,Brinjal,35,Ahmedabad,FAQ,Ahmedabad,2500,800,1950,Gujarat,Other
13/08/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,6000,2500,4450,Gujarat,Other
20/08/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,4500,2000,2850,Gujarat,Other
29/08/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,7000,2500,4750,Gujarat,Other
30/08/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,5000,2500,3850,Gujarat,Other
31/08/2024,Drumstick,168,Ahmedabad,FAQ,Ahmedabad,4000,3000,3600,Gujarat,Other
02/08/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,7500,6000,6750,Gujarat,Other
03/08/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,7500,6000,6850,Gujarat,Other
14/08/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,6500,5000,5800,Gujarat,Other
29/08/2024,Elephant Yam (Suran),296,Ahmedabad,FAQ,Ahmedabad,6500,5500,6400,Gujarat,Other
02/08/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1300,600,950,Gujarat,Other
08/08/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1500,1000,1250,Gujarat,Other
20/08/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1250,1000,1150,Gujarat,Other
22/08/2024,Banana - Green,90,Ahmedabad,FAQ,Ahmedabad,1750,1000,1250,Gujarat,Other
29/08/2024,Mango (Raw-Ripe),172,Ahmedabad,FAQ,Ahmedabad,6000,4000,5250,Gujarat,Other
16/08/2024,Peas Wet,174,Ahmedabad,FAQ,Ahmedabad,11000,8000,10500,Gujarat,Other
29/08/2024,Peas Wet,174,Ahmedabad,FAQ,Ahmedabad,11000,8000,10500,Gujarat,Other
09/08/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,12000,3000,5500,Gujarat,Other
21/08/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,10000,3500,3800,Gujarat,Other
22/08/2024,Ginger(Green),103,Ahmedabad,FAQ,Ahmedabad,10000,3500,4750,Gujarat,Other
16/08/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,2000,1000,1800,Gujarat,Other
05/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,5000,2000,2900,Gujarat,Other
10/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,5000,2000,4250,Gujarat,Other
20/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,5500,2000,4650,Gujarat,Other
27/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,3500,1500,2800,Gujarat,Other
30/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,3000,1000,2200,Gujarat,Other
31/08/2024,Green Chilli,87,Ahmedabad,FAQ,Ahmedabad,2500,1000,2000,Gujarat,Other
09/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4500,3000,4300,Gujarat,Capsicum
14/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4000,2000,3500,Gujarat,Capsicum
30/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4200,2000,3800,Gujarat,Capsicum
08/08/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,4000,1000,3650,Gujarat,Other
29/08/2024,Cucumbar(Kheera),159,Ahmedabad,FAQ,Ahmedabad,2200,800,1850,Gujarat,Other
06/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,6000,3000,5100,Gujarat,Capsicum
17/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,5500,3500,4500,Gujarat,Capsicum
21/08/2024,Capsicum,164,Ahmedabad,FAQ,Ahmedabad,4500,2000,3750,Gujarat,Capsicum
06/08/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,7000,6500,6850,Gujarat,Other
09/08/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,8000,7000,7750,Gujarat,Other
17/08/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,8500,7500,8250,Gujarat,Other
29/08/2024,Sweet Potato,152,Ahmedabad,FAQ,Ahmedabad,8000,7500,7850,Gujarat,Other
02/08/2024,Brinjal,35,Ahmedabad,FAQ,Ahmedabad,3500,1000,2700,Gujarat,Other
07/08/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,5000,1000,2850,Gujarat,Other
27/08/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,1500,500,1200,Gujarat,Other
01/08/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,3500,500,2350,Gujarat,Other
06/08/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,4500,1000,2800,Gujarat,Other
10/08/2024,Bottle gourd,82,Ahmedabad,FAQ,Ahmedabad,4500,1000,2900,Gujarat,Other
06/08/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2750,800,2150,Gujarat,Other
14/08/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2500,1500,2200,Gujarat,Other
22/08/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2500,1200,2100,Gujarat,Other
27/08/2024,Cauliflower,34,Ahmedabad,FAQ,Ahmedabad,2000,1000,1600,Gujarat,Other
06/08/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1200,800,1050,Gujarat,Other
07/08/2024,Pumpkin,84,Ahmedabad,FAQ,Ahmedabad,1200,800,1050,Gujarat,Other
01/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,3500,2000,2900,Gujarat,Other
06/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,3800,2000,3300,Gujarat,Other
07/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,4200,2000,3500,Gujarat,Other
13/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,3500,2000,3250,Gujarat,Other
22/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,3500,1800,3050,Gujarat,Other
24/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,3250,1500,2750,Gujarat,Other
29/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,2800,1500,2400,Gujarat,Other
31/08/2024,Tomato,78,Ahmedabad,FAQ,Ahmedabad,2200,1500,1900,Gujarat,Other
08/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,5000,1500,3100,Gujarat,Other
12/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,5000,2000,3350,Gujarat,Other
20/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,4000,2000,3350,Gujarat,Other
23/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,3000,1000,2300,Gujarat,Other
28/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,4000,1500,2850,Gujarat,Other
30/08/2024,Bitter gourd,81,Ahmedabad,FAQ,Ahmedabad,4500,2000,2950,Gujarat,Other
01/08/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,2800,1000,1900,Gujarat,Other
21/08/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,2500,1500,2250,Gujarat,Other
27/08/2024,Cabbage,154,Ahmedabad,FAQ,Ahmedabad,1800,1000,1500,Gujarat,Other
06/08/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,2000,1000,1650,Gujarat,Other
17/08/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,1750,600,1650,Gujarat,Other
21/08/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,2500,1000,2000,Gujarat,Other
28/08/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,2500,1500,1750,Gujarat,Other
31/08/2024,Beetroot,157,Ahmedabad,FAQ,Ahmedabad,2500,1200,2000,Gujarat,Other
01/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,800,1500,Gujarat,Other
03/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,1000,1700,Gujarat,Other
07/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2200,1200,1700,Gujarat,Other
09/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2250,1200,1800,Gujarat,Other
20/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2500,1200,1850,Gujarat,Other
23/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2500,1200,2000,Gujarat,Other
27/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2500,1000,1800,Gujarat,Other
29/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,2500,1500,2050,Gujarat,Other
31/08/2024,Carrot,153,Ahmedabad,FAQ,Ahmedabad,3000,1000,2500,Gujarat,Other
22/08/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,5000,2000,3750,Gujarat,Other
02/08/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,10000,5000,8750,Gujarat,Other
06/08/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,12000,5000,9000,Gujarat,Other
17/08/2024,Guar,75,Ahmedabad,FAQ,Ahmedabad,6000,2000,5650,Gujarat,Other
