CraneEventID,CraneID,VesselCallID,EventTime,ActiveMinutes,DowntimeMinutes,MovesCompleted,ShiftName
CE00033,QC05,VC00525,2025-03-04 13:02:00,374,61,29,Evening
CE00034,QC05,VC00353,2025-05-30 08:54:00,347,6,32,Evening
CE00035,QC01,VC00538,2025-11-12 18:23:00,340,12,77,Night
CE00036,QC04,VC00256,2025-11-05 04:29:00,330,15,49,Evening
CE00037,QC03,VC00620,2025-10-26 22:39:00,355,57,20,Night
CE00038,QC05,VC00221,2025-02-26 05:44:00,302,4,68,Night
CE00039,QC04,VC00695,2025-04-24 16:23:00,305,88,60,Morning
CE00040,QC07,VC00747,2025-12-14 00:34:00,367,71,50,Morning
CE00041,QC04,VC00720,2025-03-13 04:21:00,464,39,22,Evening
CE00042,QC03,VC00715,2026-06-20 19:06:00,329,53,25,Night
CE00043,QC03,VC00206,2025-04-16 00:40:00,445,13,25,Night
CE00044,QC05,VC00081,2026-05-31 04:23:00,317,74,29,Morning
CE00045,QC01,VC00550,2026-06-10 12:46:00,437,68,45,Night
CE00046,QC08,VC00324,2025-04-28 03:01:00,470,75,28,Night
CE00047,QC03,VC00941,2025-07-17 23:20:00,352,84,38,Night
CE00048,QC01,VC00685,2025-12-21 19:34:00,427,12,67,Night
CE00049,QC02,VC00299,2026-01-22 14:44:00,454,15,74,Evening
CE00050,QC06,VC00752,2026-02-15 01:17:00,320,78,33,Morning
CE00051,QC04,VC00130,2025-04-27 14:17:00,473,4,79,Morning
CE00052,QC08,VC00707,2026-07-31 13:32:00,366,58,31,Evening
CE00053,QC08,VC00281,2025-06-12 01:01:00,443,87,60,Morning
CE00054,QC07,VC00604,2025-10-29 12:39:00,434,63,79,Morning
CE00055,QC04,VC00771,2025-03-24 03:55:00,338,50,36,Evening
CE00056,QC08,VC00591,2026-02-09 19:08:00,420,63,47,Night
CE00057,QC05,VC00400,2026-06-13 07:05:00,363,76,78,Night
CE00058,QC01,VC00382,2026-03-17 21:55:00,341,72,38,Night
CE00059,QC03,VC00025,2025-10-29 06:39:00,430,24,23,Night
CE00060,QC04,VC00805,2025-08-10 09:44:00,423,39,60,Night
CE00061,QC06,VC00644,2025-06-11 01:56:00,398,52,21,Night
CE00062,QC06,VC00540,2026-08-05 16:29:00,406,3,65,Evening
CE00063,QC08,VC00503,2025-12-11 03:21:00,314,2,75,Night
CE00064,QC02,VC00806,2026-02-27 18:18:00,300,73,33,Morning
CE00065,QC03,VC00401,2025-01-23 19:04:00,325,4,51,Night
CE00066,QC06,VC00985,2025-03-18 15:34:00,443,42,70,Morning
CE00067,QC08,VC00255,2025-07-07 11:25:00,440,50,35,Morning
CE00068,QC07,VC00046,2025-05-08 04:00:00,364,54,71,Morning
CE00069,QC03,VC00488,2026-03-29 16:31:00,468,6,31,Evening
CE00070,QC07,VC00842,2026-12-03 21:22:00,341,86,56,Morning
CE00071,QC05,VC00451,2025-01-28 09:59:00,476,86,34,Evening
CE00072,QC06,VC00553,2026-06-02 02:56:00,307,29,43,Morning
CE00073,QC01,VC00390,2026-10-15 06:06:00,319,8,69,Morning
CE00074,QC02,VC00429,2026-03-05 21:58:00,429,27,35,Night
CE00075,QC01,VC00825,2025-02-09 19:59:00,451,30,33,Morning
CE00076,QC05,VC00632,2025-02-23 13:45:00,311,44,67,Morning
CE00077,QC08,VC00071,2026-03-06 12:39:00,413,26,40,Night
CE00078,QC06,VC00229,2026-03-24 04:10:00,377,69,53,Morning
CE00079,QC08,VC00147,2025-02-27 22:13:00,313,80,31,Evening
CE00080,QC02,VC00980,2026-04-08 11:27:00,333,2,35,Evening
CE00081,QC01,VC00737,2025-10-29 09:06:00,312,27,78,Evening
CE00082,QC03,VC00647,2026-10-21 19:01:00,342,26,57,Morning
CE00083,QC07,VC00352,2026-02-14 23:52:00,362,57,43,Evening
CE00084,QC04,VC00750,2026-11-30 02:49:00,399,32,25,Evening
CE00085,QC08,VC00895,2026-07-16 12:20:00,477,28,35,Evening
CE00086,QC03,VC00705,2026-05-26 05:06:00,309,8,80,Morning
CE00087,QC02,VC00454,2026-06-25 03:21:00,474,27,46,Night
CE00088,QC01,VC00591,2026-02-09 19:08:00,371,56,24,Evening
CE00089,QC05,VC00444,2026-10-24 20:26:00,422,22,76,Evening
CE00090,QC01,VC00136,2026-04-25 06:33:00,354,23,60,Night
CE00091,QC06,VC00832,2026-09-10 03:04:00,348,39,20,Evening
CE00092,QC02,VC00942,2025-07-06 09:24:00,344,15,62,Morning
CE00093,QC03,VC00034,2025-08-12 17:09:00,419,84,29,Evening
CE00094,QC07,VC00666,2026-01-28 06:17:00,445,84,54,Morning
CE00095,QC07,VC00141,2026-10-26 06:16:00,406,71,49,Evening
CE00096,QC04,VC00296,2025-04-10 10:06:00,388,62,37,Evening
CE00097,QC04,VC00681,2025-07-19 04:46:00,319,44,39,Morning
CE00098,QC06,VC00948,2026-03-24 00:12:00,404,12,77,Night
CE00099,QC03,VC00965,2025-05-30 08:54:00,392,85,35,Evening
CE00100,QC02,VC00346,2025-05-25 15:35:00,309,85,70,Evening
CE00101,QC07,VC00663,2026-10-23 09:34:00,358,24,63,Evening
CE00102,QC04,VC00978,2026-03-14 05:49:00,326,39,60,Morning
CE00103,QC01,VC00750,2026-11-30 02:49:00,377,0,53,Night
CE00104,QC05,VC00892,2026-04-03 10:48:00,369,47,38,Night
CE00105,QC03,VC00531,2025-10-08 13:34:00,302,28,66,Night
CE00106,QC02,VC00153,2025-07-21 17:30:00,467,72,21,Night
CE00107,QC08,VC00622,2026-09-13 17:53:00,404,64,30,Evening
CE00108,QC03,VC00361,2026-02-21 23:29:00,416,29,44,Night
CE00109,QC04,VC00252,2026-06-03 12:52:00,473,29,30,Evening
CE00110,QC04,VC00361,2026-02-21 23:29:00,349,13,65,Night
CE00111,QC07,VC00615,2025-02-20 03:43:00,467,14,27,Night
CE00112,QC02,VC00214,2025-06-27 05:14:00,363,78,70,Morning
CE00113,QC02,VC00141,2026-10-26 06:16:00,435,86,39,Night
CE00114,QC06,VC00742,2025-12-06 17:01:00,391,72,37,Evening
CE00115,QC05,VC00941,2025-07-17 23:20:00,461,6,28,Evening
CE00116,QC02,VC00708,2026-01-03 04:01:00,390,90,66,Evening
CE00117,QC01,VC00585,2025-09-09 05:56:00,455,87,73,Night
CE00118,QC01,VC00999,2025-03-14 07:49:00,394,83,62,Evening
CE00119,QC02,VC00077,2026-10-07 19:34:00,386,10,68,Night
CE00120,QC03,VC00278,2025-03-24 07:05:00,353,15,36,Evening
CE00121,QC04,VC00517,2026-04-13 23:59:00,469,54,74,Evening
CE00122,QC03,VC00536,2025-01-04 17:36:00,409,28,60,Morning
CE00123,QC08,VC00333,2026-02-14 10:37:00,361,23,48,Evening
CE00124,QC05,VC00854,2026-07-08 22:24:00,456,56,25,Night
CE00125,QC05,VC00484,2026-07-27 22:27:00,390,53,67,Morning
CE00126,QC08,VC00195,2025-09-19 00:56:00,410,28,47,Morning
CE00127,QC07,VC00328,2026-12-01 18:58:00,404,24,24,Evening
CE00128,QC07,VC00536,2025-01-04 17:36:00,367,39,40,Night
CE00129,QC06,VC00215,2026-07-15 23:59:00,304,57,65,Night
CE00130,QC06,VC00810,2026-08-27 08:10:00,322,40,25,Evening
CE00131,QC04,VC00384,2025-08-04 20:15:00,407,2,26,Morning
CE00132,QC05,VC00812,2025-02-20 04:44:00,326,71,38,Morning
CE00133,QC07,VC00210,2025-08-24 21:17:00,402,75,40,Evening
CE00134,QC05,VC00181,2025-07-19 10:40:00,380,2,68,Evening
CE00135,QC02,VC00590,2026-05-28 02:53:00,438,76,64,Evening
CE00136,QC06,VC00887,2026-08-25 00:55:00,456,9,35,Morning
CE00137,QC08,VC00955,2025-01-02 21:06:00,431,34,71,Night
CE00138,QC06,VC00989,2025-04-28 13:43:00,334,25,21,Night
CE00139,QC04,VC00166,2026-02-27 19:42:00,452,1,44,Night
CE00140,QC01,VC00310,2026-01-11 04:56:00,340,55,62,Evening
CE00141,QC01,VC00711,2025-09-11 21:22:00,464,48,22,Night
CE00142,QC05,VC00268,2025-01-16 16:43:00,444,52,41,Night
CE00143,QC01,VC00897,2025-03-19 17:21:00,399,54,72,Night
CE00144,QC07,VC00091,2025-08-21 03:59:00,468,14,56,Night
CE00145,QC02,VC00191,2025-07-02 03:52:00,307,11,45,Night
CE00146,QC03,VC00065,2026-11-15 11:42:00,355,27,36,Evening
CE00147,QC03,VC00593,2025-10-08 20:12:00,310,33,31,Morning
CE00148,QC07,VC00224,2025-04-10 16:00:00,472,44,34,Morning
CE00149,QC07,VC00333,2026-02-14 10:37:00,391,69,69,Morning
CE00150,QC06,VC00944,2025-06-01 20:28:00,460,90,76,Morning
CE00151,QC03,VC00552,2026-03-14 20:33:00,332,16,59,Morning
CE00152,QC06,VC00122,2025-10-30 11:52:00,359,16,42,Night
CE00153,QC05,VC00390,2026-10-15 06:06:00,359,72,56,Evening
CE00154,QC02,VC00837,2025-06-08 03:32:00,451,35,43,Morning
CE00155,QC04,VC00171,2025-07-30 15:53:00,335,50,24,Evening
CE00156,QC03,VC00654,2026-08-23 08:35:00,362,52,34,Night
CE00157,QC02,VC00178,2025-07-21 08:13:00,304,68,61,Morning
CE00158,QC01,VC00222,2026-07-23 18:45:00,447,57,76,Morning
CE00159,QC02,VC00732,2026-06-14 03:07:00,399,85,20,Evening
CE00160,QC02,VC00905,2026-08-26 23:42:00,325,34,30,Evening
CE00161,QC02,VC00533,2026-01-22 00:28:00,382,86,22,Morning
CE00162,QC03,VC00937,2025-06-08 12:06:00,311,9,73,Morning
CE00163,QC04,VC00723,2025-12-06 15:50:00,323,52,44,Morning
CE00164,QC07,VC00488,2026-03-29 16:31:00,455,2,50,Morning
CE00165,QC01,VC00195,2025-09-19 00:56:00,475,24,56,Evening
CE00166,QC06,VC00073,2026-08-27 12:56:00,392,9,25,Evening
CE00167,QC06,VC00871,2025-07-05 10:13:00,320,19,68,Morning
CE00168,QC07,VC00185,2026-11-14 10:38:00,318,14,27,Night
CE00169,QC03,VC00666,2026-01-28 06:17:00,371,43,47,Evening
CE00170,QC01,VC00825,2025-02-09 19:59:00,428,89,79,Night
CE00171,QC01,VC00970,2026-09-01 02:24:00,475,7,31,Morning
CE00172,QC03,VC00444,2026-10-24 20:26:00,313,83,23,Evening
CE00173,QC08,VC00024,2026-10-14 05:33:00,372,73,76,Evening
CE00174,QC02,VC00392,2025-07-15 02:05:00,449,23,80,Evening
CE00175,QC03,VC00463,2026-05-28 12:21:00,367,84,35,Evening
CE00176,QC08,VC00318,2025-02-15 00:01:00,405,30,23,Evening
CE00177,QC08,VC00686,2026-07-17 05:32:00,442,47,42,Night
CE00178,QC05,VC00843,2026-01-06 02:42:00,313,36,79,Night
CE00179,QC08,VC00145,2025-06-13 19:33:00,373,63,68,Evening
CE00180,QC02,VC00430,2026-02-26 02:27:00,443,52,27,Night
CE00181,QC02,VC00328,2026-12-01 18:58:00,363,38,38,Evening
CE00182,QC02,VC00221,2025-02-26 05:44:00,462,9,52,Night
CE00183,QC05,VC00106,2026-05-23 05:25:00,465,48,77,Evening
CE00184,QC01,VC00457,2025-01-03 13:50:00,349,10,65,Night
CE00185,QC07,VC00488,2026-03-29 16:31:00,330,65,28,Morning
CE00186,QC07,VC00106,2026-05-23 05:25:00,403,52,67,Night
CE00187,QC05,VC00695,2025-04-24 16:23:00,401,22,30,Night
CE00188,QC07,VC00285,2025-11-25 16:15:00,468,55,41,Evening
CE00189,QC08,VC00625,2026-07-09 05:30:00,463,85,76,Evening
CE00190,QC08,VC00138,2025-10-21 20:42:00,417,18,77,Evening
CE00191,QC02,VC00205,2025-02-14 06:48:00,446,0,29,Night
CE00192,QC01,VC00507,2026-12-08 08:33:00,375,4,64,Evening
CE00193,QC08,VC00114,2025-05-06 05:18:00,315,26,64,Morning
CE00194,QC06,VC00501,2026-10-10 08:37:00,459,83,37,Morning
CE00195,QC06,VC00945,2026-02-08 00:50:00,449,74,23,Night
CE00196,QC02,VC00364,2026-09-08 18:57:00,350,1,37,Morning
CE00197,QC01,VC00675,2026-12-09 16:25:00,465,56,49,Night
CE00198,QC07,VC00561,2026-07-13 18:24:00,350,48,42,Evening
CE00199,QC04,VC00878,2026-10-03 07:22:00,477,15,45,Night
CE00200,QC04,VC00102,2026-01-08 03:54:00,472,78,69,Evening
CE00201,QC04,VC00151,2026-06-25 11:08:00,316,44,24,Evening
CE00202,QC01,VC00164,2025-05-10 03:47:00,388,46,36,Night
CE00203,QC03,VC00002,2026-03-29 03:44:00,480,69,50,Evening
CE00204,QC04,VC00581,2026-08-09 03:52:00,358,61,29,Morning
CE00205,QC01,VC00018,2025-08-06 11:33:00,395,25,76,Night
CE00206,QC07,VC00535,2025-02-23 23:44:00,348,79,35,Night
CE00207,QC01,VC00336,2026-04-03 04:10:00,403,23,35,Evening
CE00208,QC04,VC00390,2026-10-15 06:06:00,470,78,43,Night
CE00209,QC08,VC00478,2026-10-11 09:30:00,342,81,41,Morning
CE00210,QC01,VC00172,2026-07-16 02:36:00,404,89,65,Evening
CE00211,QC03,VC00303,2025-09-25 23:18:00,448,78,77,Evening
CE00212,QC06,VC00678,2026-11-13 03:07:00,349,18,69,Night
CE00213,QC07,VC00644,2025-06-11 01:56:00,479,34,38,Evening
CE00214,QC03,VC00493,2025-08-06 02:03:00,380,65,30,Morning
CE00215,QC04,VC00865,2025-03-27 08:39:00,424,26,28,Night
CE00216,QC08,VC00827,2026-04-03 16:26:00,435,32,74,Evening
CE00217,QC02,VC00609,2026-05-13 18:11:00,318,64,25,Morning
CE00218,QC06,VC00646,2026-08-02 10:37:00,371,8,25,Evening
CE00219,QC05,VC00799,2026-09-26 02:21:00,470,82,23,Night
CE00220,QC08,VC00324,2025-04-28 03:01:00,474,56,31,Night
CE00221,QC08,VC00721,2025-08-17 14:51:00,305,58,64,Morning
CE00222,QC08,VC00434,2025-12-08 04:18:00,476,40,46,Morning
CE00223,QC06,VC00713,2026-07-28 21:09:00,468,4,62,Morning
CE00224,QC04,VC00637,2025-01-23 16:13:00,343,43,29,Night
CE00225,QC08,VC00528,2026-11-21 00:56:00,452,38,79,Evening
CE00226,QC02,VC00009,2026-07-09 10:30:00,398,80,66,Morning
CE00227,QC02,VC00234,2026-05-15 15:53:00,347,9,43,Morning
CE00228,QC02,VC00547,2025-06-04 08:00:00,379,61,74,Evening
CE00229,QC03,VC00178,2025-07-21 08:13:00,408,67,36,Evening
CE00230,QC07,VC00728,2026-04-20 19:15:00,446,64,67,Evening
CE00231,QC06,VC00953,2026-02-21 05:52:00,384,18,65,Morning
CE00232,QC01,VC00956,2026-02-10 02:08:00,464,78,45,Night
CE00233,QC02,VC00014,2025-09-23 14:46:00,356,82,21,Morning
CE00234,QC04,VC00950,2026-06-23 13:35:00,318,39,44,Night
CE00235,QC04,VC00432,2025-12-06 00:32:00,325,23,69,Night
CE00236,QC03,VC00296,2025-04-10 10:06:00,315,39,51,Morning
CE00237,QC02,VC00966,2025-10-07 01:56:00,425,47,62,Morning
CE00238,QC02,VC00908,2026-12-05 20:41:00,346,37,37,Evening
CE00239,QC07,VC00522,2025-09-30 09:41:00,393,69,76,Evening
CE00240,QC01,VC00896,2026-01-22 21:38:00,371,41,34,Night
CE00241,QC04,VC00094,2026-04-17 22:03:00,406,11,68,Night
CE00242,QC03,VC00057,2026-09-08 06:16:00,339,77,31,Morning
CE00243,QC08,VC00139,2026-03-02 14:16:00,332,29,41,Night
CE00244,QC05,VC00990,2025-04-01 09:42:00,320,35,72,Morning
CE00245,QC02,VC00335,2026-06-25 09:20:00,342,15,76,Morning
CE00246,QC07,VC00390,2026-10-15 06:06:00,343,87,58,Evening
CE00247,QC02,VC00072,2026-09-23 22:01:00,478,43,49,Night
CE00248,QC06,VC00500,2025-10-10 08:47:00,310,16,63,Night
CE00249,QC02,VC00722,2025-02-27 12:33:00,340,32,39,Night
CE00250,QC07,VC00478,2026-10-11 09:30:00,355,61,57,Evening
CE00251,QC02,VC00866,2026-05-06 12:26:00,367,16,51,Night
CE00252,QC08,VC00469,2026-02-11 03:31:00,408,50,74,Night
CE00253,QC04,VC00357,2025-05-20 00:05:00,311,35,40,Evening
CE00254,QC07,VC00926,2026-05-29 14:50:00,326,44,73,Night
CE00255,QC06,VC00090,2026-05-27 22:10:00,300,50,72,Evening
CE00256,QC01,VC00376,2025-06-23 06:37:00,313,53,67,Evening
CE00257,QC04,VC00167,2025-05-08 18:06:00,344,14,57,Morning
CE00258,QC07,VC00839,2025-01-31 19:09:00,464,1,68,Morning
CE00259,QC07,VC00728,2026-04-20 19:15:00,300,28,78,Evening
CE00260,QC04,VC00432,2025-12-06 00:32:00,381,76,40,Night
CE00261,QC08,VC00631,2025-02-28 22:35:00,326,20,64,Evening
CE00262,QC08,VC00773,2025-05-28 07:39:00,370,64,33,Night
CE00263,QC05,VC00070,2026-01-29 15:55:00,473,54,33,Evening
CE00264,QC02,VC00145,2025-06-13 19:33:00,447,48,31,Morning
CE00265,QC07,VC00514,2026-02-06 15:27:00,363,77,21,Morning
CE00266,QC06,VC00663,2026-10-23 09:34:00,442,7,44,Morning
CE00267,QC08,VC00487,2026-01-12 03:56:00,317,89,66,Evening
CE00268,QC08,VC00419,2026-02-03 05:05:00,372,57,29,Evening
CE00269,QC06,VC00310,2026-01-11 04:56:00,337,2,49,Night
CE00270,QC08,VC00080,2025-07-23 01:18:00,349,63,45,Night
CE00271,QC06,VC00206,2025-04-16 00:40:00,456,16,64,Evening
CE00272,QC06,VC00100,2025-02-15 16:36:00,359,82,38,Morning
CE00273,QC04,VC00999,2025-03-14 07:49:00,360,1,57,Evening
CE00274,QC05,VC00925,2026-05-21 02:54:00,343,54,55,Evening
CE00275,QC06,VC00361,2026-02-21 23:29:00,424,16,78,Evening
CE00276,QC01,VC00531,2025-10-08 13:34:00,410,71,37,Night
CE00277,QC08,VC00231,2026-06-22 01:48:00,456,13,78,Evening
CE00278,QC06,VC00727,2026-10-25 18:14:00,373,12,32,Evening
CE00279,QC05,VC00428,2025-07-05 21:25:00,389,65,55,Morning
CE00280,QC01,VC00532,2026-01-04 15:40:00,430,44,80,Night
CE00281,QC06,VC00264,2025-12-18 08:05:00,320,15,29,Morning
CE00282,QC07,VC00366,2026-07-22 15:17:00,467,38,52,Morning
CE00283,QC02,VC00252,2026-06-03 12:52:00,434,21,80,Morning
CE00284,QC07,VC00427,2026-03-22 13:12:00,345,36,79,Night
CE00285,QC04,VC00987,2025-04-30 16:20:00,360,80,35,Morning
CE00286,QC05,VC00766,2025-09-30 18:41:00,345,69,58,Night
CE00287,QC03,VC00964,2025-04-30 05:11:00,383,48,36,Night
CE00288,QC02,VC00830,2025-08-15 17:49:00,426,31,79,Morning
CE00289,QC05,VC00216,2025-04-12 10:20:00,359,52,53,Evening
CE00290,QC02,VC00826,2026-10-10 20:48:00,452,33,58,Morning
CE00291,QC04,VC00046,2025-05-08 04:00:00,375,74,37,Night
CE00292,QC03,VC00293,2025-03-20 20:01:00,408,0,77,Night
CE00293,QC02,VC00627,2025-04-16 10:53:00,369,17,43,Evening
CE00294,QC05,VC00178,2025-07-21 08:13:00,392,39,57,Morning
CE00295,QC08,VC00465,2025-04-12 10:25:00,415,62,42,Morning
CE00296,QC03,VC00148,2026-07-07 08:03:00,346,33,34,Night
CE00297,QC04,VC00282,2025-02-01 03:02:00,301,4,77,Morning
CE00298,QC07,VC00138,2025-10-21 20:42:00,356,65,64,Evening
CE00299,QC06,VC00886,2025-07-18 02:48:00,409,46,28,Night
CE00300,QC08,VC00745,2026-04-27 03:11:00,426,69,66,Evening
CE00301,QC08,VC00605,2026-09-22 19:07:00,310,43,71,Morning
CE00302,QC02,VC00096,2026-05-06 05:01:00,306,9,59,Evening
CE00303,QC06,VC00002,2026-03-29 03:44:00,402,16,25,Morning
CE00304,QC04,VC00755,2026-08-17 03:03:00,445,90,36,Morning
CE00305,QC08,VC00201,2026-04-26 03:18:00,426,47,20,Night
CE00306,QC05,VC00154,2025-07-28 18:08:00,338,74,37,Morning
CE00307,QC05,VC00002,2026-03-29 03:44:00,336,45,30,Morning
CE00308,QC08,VC00045,2025-11-25 06:33:00,314,40,34,Night
CE00309,QC01,VC00398,2025-03-16 14:32:00,368,76,23,Night
CE00310,QC02,VC00527,2025-01-27 04:26:00,389,84,34,Evening
CE00311,QC05,VC00086,2025-04-20 18:18:00,472,33,78,Evening
CE00312,QC03,VC00146,2026-06-04 04:27:00,338,47,24,Night
CE00313,QC08,VC00143,2025-03-04 02:22:00,325,25,69,Night
CE00314,QC07,VC00453,2025-07-21 17:42:00,389,90,49,Morning
CE00315,QC08,VC00868,2025-10-16 10:58:00,371,71,41,Evening
CE00316,QC07,VC00536,2025-01-04 17:36:00,420,44,38,Night
CE00317,QC03,VC00406,2025-04-28 21:12:00,439,41,78,Night
CE00318,QC07,VC00443,2025-12-07 04:39:00,310,16,79,Evening
CE00319,QC03,VC00471,2026-02-07 07:35:00,431,54,49,Evening
CE00320,QC01,VC00844,2025-08-22 21:06:00,316,39,21,Evening
CE00321,QC07,VC00337,2025-10-02 09:35:00,436,51,28,Night
CE00322,QC08,VC00400,2026-06-13 07:05:00,388,3,46,Morning
CE00323,QC02,VC00960,2026-10-16 09:17:00,465,44,22,Morning
CE00324,QC01,VC00597,2026-06-16 20:30:00,393,46,70,Morning
CE00325,QC02,VC00610,2025-10-30 14:13:00,378,25,48,Morning
CE00326,QC03,VC00589,2026-06-05 17:28:00,448,34,78,Night
CE00327,QC03,VC00361,2026-02-21 23:29:00,375,21,43,Evening
CE00328,QC05,VC00225,2025-10-06 16:24:00,453,59,38,Evening
CE00329,QC01,VC00226,2026-06-29 10:36:00,443,19,36,Night
CE00330,QC06,VC00549,2025-05-11 04:11:00,477,54,20,Evening
CE00331,QC03,VC00234,2026-05-15 15:53:00,348,9,79,Morning
CE00332,QC05,VC00432,2025-12-06 00:32:00,422,68,76,Evening
CE00333,QC04,VC00605,2026-09-22 19:07:00,410,63,60,Evening
CE00334,QC07,VC00391,2026-03-04 22:38:00,304,86,67,Morning
CE00335,QC07,VC00912,2025-08-30 03:50:00,480,6,31,Night
CE00336,QC05,VC00975,2026-05-20 19:04:00,430,80,30,Evening
CE00337,QC01,VC00075,2025-01-19 19:58:00,318,34,49,Night
CE00338,QC02,VC00750,2026-11-30 02:49:00,352,77,30,Morning
CE00339,QC04,VC00128,2026-09-12 07:54:00,345,5,58,Morning
CE00340,QC08,VC00861,2025-07-09 16:30:00,476,0,70,Evening
CE00341,QC08,VC00847,2026-05-01 16:09:00,327,54,32,Night
CE00342,QC06,VC00250,2025-11-04 03:02:00,396,77,47,Night
CE00343,QC07,VC00562,2026-06-21 12:20:00,401,76,80,Night
CE00344,QC06,VC00579,2025-09-26 07:09:00,336,63,21,Evening
CE00345,QC01,VC00324,2025-04-28 03:01:00,386,16,65,Morning
CE00346,QC04,VC00629,2026-07-21 05:19:00,340,86,47,Evening
CE00347,QC04,VC00143,2025-03-04 02:22:00,399,43,39,Evening
CE00348,QC05,VC00463,2026-05-28 12:21:00,392,82,40,Evening
CE00349,QC04,VC00780,2026-06-21 09:40:00,371,9,44,Night
CE00350,QC07,VC00757,2025-07-24 08:17:00,365,16,28,Night
CE00351,QC01,VC00805,2025-08-10 09:44:00,362,14,28,Night
CE00352,QC01,VC00206,2025-04-16 00:40:00,302,6,53,Evening
CE00353,QC04,VC00584,2026-05-04 22:07:00,310,82,21,Evening
CE00354,QC07,VC00056,2025-06-11 21:03:00,478,71,30,Night
CE00355,QC08,VC00266,2025-05-11 07:04:00,468,63,77,Evening
CE00356,QC03,VC00099,2025-12-09 05:40:00,446,8,48,Night
CE00357,QC08,VC00929,2026-07-17 15:32:00,373,25,53,Evening
CE00358,QC07,VC00053,2026-01-24 09:30:00,343,37,29,Evening
CE00359,QC03,VC00797,2025-09-17 07:59:00,470,18,20,Morning
CE00360,QC08,VC00245,2025-02-13 03:26:00,381,73,70,Night
CE00361,QC05,VC00711,2025-09-11 21:22:00,420,47,25,Morning
CE00362,QC05,VC00631,2025-02-28 22:35:00,408,23,41,Night
CE00363,QC04,VC00112,2026-08-31 05:30:00,326,7,24,Evening
CE00364,QC01,VC00792,2025-10-31 22:13:00,319,39,66,Morning
CE00365,QC04,VC00297,2026-03-31 17:05:00,460,36,35,Morning
CE00366,QC04,VC00712,2025-11-14 21:16:00,416,7,72,Morning
CE00367,QC05,VC00689,2026-07-31 01:57:00,368,61,68,Morning
CE00368,QC07,VC00324,2025-04-28 03:01:00,422,86,73,Evening
CE00369,QC07,VC00868,2025-10-16 10:58:00,342,42,72,Morning
CE00370,QC02,VC00034,2025-08-12 17:09:00,470,51,29,Morning
CE00371,QC01,VC00553,2026-06-02 02:56:00,362,59,52,Evening
CE00372,QC05,VC00274,2026-08-27 07:29:00,337,39,60,Night
CE00373,QC04,VC00173,2026-09-06 00:29:00,457,83,72,Night
CE00374,QC08,VC00415,2026-07-27 15:24:00,303,35,32,Night
CE00375,QC06,VC00780,2026-06-21 09:40:00,447,87,39,Morning
CE00376,QC07,VC00144,2026-02-16 14:18:00,360,77,65,Morning
CE00377,QC05,VC00505,2026-02-12 13:25:00,459,2,46,Morning
CE00378,QC06,VC00353,2025-05-30 08:54:00,473,14,59,Night
