ContainerID	VesselCallID	ImporterID	ImporterName	Industry	YardBlockID	Terminal	Zone	ArrivalTime	YardInTime	CustomsSubmitTime	CustomsApproveTime	YardOutTime	ExitTime	Status	IsCustomsCleared	IsExited	UnloadToYardHrs	YardToCustomsSubmitHrs	CustomsHoldHrs	ApprovalToPickupHrs	YardOutToExitHrs	TotalDwellHrs	ArrivalDateKey	LoadDate
C000048	VC00049	I030	Importer 30	Electronics	Y03	Terminal A	Export	2025-06-13 08:42:00.000000	2025-06-13 11:21:00.000000	2025-06-13 14:57:00.000000	2025-06-15 00:57:00.000000	2025-06-16 02:57:00.000000	2025-06-16 03:58:00.000000	Exited	1	1	2.65	3.6	34	26	1.02	67.27	20250613	2026-06-25
C000052	VC00902	I018	Importer 18	Automotive	Y03	Terminal A	Export	2025-03-24 04:08:00.000000	2025-03-24 06:46:00.000000	2025-03-24 09:07:00.000000	2025-03-24 12:07:00.000000	2025-03-25 14:07:00.000000	2025-03-25 14:42:00.000000	Exited	1	1	2.63	2.35	3	26	0.58	34.57	20250324	2026-06-25
C000058	VC00949	I048	Importer 48	Automotive	Y04	Terminal A	Import	2026-07-25 10:02:00.000000	2026-07-25 11:37:00.000000	2026-07-25 13:31:00.000000	2026-07-27 13:31:00.000000	2026-07-29 15:31:00.000000	2026-07-29 17:29:00.000000	Exited	1	1	1.58	1.9	48	50	1.97	103.45	20260725	2026-06-25
C000059	VC00991	I027	Importer 27	Retail	Y05	Terminal A	Export	2026-07-21 01:36:00.000000	2026-07-21 02:46:00.000000	2026-07-21 03:52:00.000000	2026-07-21 17:52:00.000000	2026-07-23 05:52:00.000000	2026-07-23 07:03:00.000000	Exited	1	1	1.17	1.1	14	36	1.18	53.45	20260721	2026-06-25
C000064	VC00032	I006	Importer 6	Pharmaceutical	Y04	Terminal A	Import	2025-07-28 05:33:00.000000	2025-07-28 06:48:00.000000	2025-07-28 09:11:00.000000	2025-07-29 11:11:00.000000	2025-07-30 20:11:00.000000	2025-07-30 21:04:00.000000	Exited	1	1	1.25	2.38	26	33	0.88	63.52	20250728	2026-06-25
C000069	VC00048	I026	Importer 26	Electronics	Y04	Terminal A	Import	2026-01-05 21:26:00.000000	2026-01-06 00:25:00.000000	2026-01-06 03:39:00.000000	2026-01-07 08:39:00.000000	2026-01-08 02:39:00.000000	2026-01-08 02:54:00.000000	Exited	1	1	2.98	3.23	29	18	0.25	53.47	20260105	2026-06-25
C000070	VC00692	I046	Importer 46	Construction	Y03	Terminal A	Export	2026-09-07 21:36:00.000000	2026-09-07 23:11:00.000000	2026-09-08 02:08:00.000000	2026-09-08 13:08:00.000000	2026-09-09 21:08:00.000000	2026-09-09 22:29:00.000000	Exited	1	1	1.58	2.95	11	32	1.35	48.88	20260907	2026-06-25
C000086	VC00336	I019	Importer 19	Pharmaceutical	Y05	Terminal A	Export	2026-04-03 02:40:00.000000	2026-04-03 03:06:00.000000	2026-04-03 04:08:00.000000	2026-04-03 22:08:00.000000	2026-04-05 21:08:00.000000	2026-04-05 22:18:00.000000	Exited	1	1	0.43	1.03	18	47	1.17	67.63	20260403	2026-06-25
C000087	VC00353	I032	Importer 32	Automotive	Y03	Terminal A	Export	2025-05-30 09:15:00.000000	2025-05-30 11:42:00.000000	2025-05-30 13:32:00.000000	2025-05-31 00:32:00.000000	2025-06-01 17:32:00.000000	2025-06-01 19:21:00.000000	Exited	1	1	2.45	1.83	11	41	1.82	58.1	20250530	2026-06-25
C000088	VC00225	I015	Importer 15	Construction	Y03	Terminal A	Export	2025-10-06 17:44:00.000000	2025-10-06 20:41:00.000000	2025-10-07 00:35:00.000000	2025-10-07 13:35:00.000000	2025-10-08 09:35:00.000000	2025-10-08 09:56:00.000000	Exited	1	1	2.95	3.9	13	20	0.35	40.2	20251006	2026-06-25
C000090	VC00555	I047	Importer 47	Electronics	Y03	Terminal A	Export	2026-11-11 04:46:00.000000	2026-11-11 06:32:00.000000	2026-11-11 10:03:00.000000	2026-11-12 16:03:00.000000	2026-11-15 08:03:00.000000	2026-11-15 08:32:00.000000	Exited	1	1	1.77	3.52	30	64	0.48	99.77	20261111	2026-06-25
C000093	VC00525	I002	Importer 2	Pharmaceutical	Y05	Terminal A	Export	2025-03-04 11:32:00.000000	2025-03-04 13:33:00.000000	2025-03-04 14:22:00.000000	2025-03-05 22:22:00.000000	2025-03-06 11:22:00.000000	2025-03-06 12:19:00.000000	Exited	1	1	2.02	0.82	32	13	0.95	48.78	20250304	2026-06-25
C000096	VC00712	I037	Importer 37	Electronics	Y03	Terminal A	Export	2025-11-14 23:51:00.000000	2025-11-15 01:29:00.000000	2025-11-15 05:06:00.000000	NULL	NULL	NULL	In Yard	0	0	1.63	3.62	NULL	NULL	NULL	NULL	20251114	2026-06-25
C000098	VC00905	I002	Importer 2	Pharmaceutical	Y04	Terminal A	Import	2026-08-27 00:15:00.000000	2026-08-27 00:53:00.000000	2026-08-27 03:05:00.000000	2026-08-27 19:05:00.000000	2026-08-29 23:05:00.000000	2026-08-29 23:31:00.000000	Exited	1	1	0.63	2.2	16	52	0.43	71.27	20260827	2026-06-25
C000100	VC00474	I033	Importer 33	Construction	Y04	Terminal A	Import	2026-06-14 05:41:00.000000	2026-06-14 07:15:00.000000	2026-06-14 10:40:00.000000	2026-06-15 09:40:00.000000	2026-06-15 22:40:00.000000	2026-06-15 23:42:00.000000	Exited	1	1	1.57	3.42	23	13	1.03	42.02	20260614	2026-06-25
C000104	VC00213	I009	Importer 9	Construction	Y05	Terminal A	Export	2026-11-06 12:42:00.000000	2026-11-06 14:11:00.000000	2026-11-06 16:40:00.000000	2026-11-07 23:40:00.000000	2026-11-09 14:40:00.000000	2026-11-09 15:14:00.000000	Exited	1	1	1.48	2.48	31	39	0.57	74.53	20261106	2026-06-25
C000109	VC00191	I012	Importer 12	Automotive	Y04	Terminal A	Import	2025-07-02 08:00:00.000000	2025-07-02 10:11:00.000000	2025-07-02 13:54:00.000000	2025-07-04 05:54:00.000000	2025-07-05 15:54:00.000000	2025-07-05 16:52:00.000000	Exited	1	1	2.18	3.72	40	34	0.97	80.87	20250702	2026-06-25
C000114	VC00219	I002	Importer 2	Pharmaceutical	Y04	Terminal A	Import	2026-01-23 21:34:00.000000	2026-01-23 22:11:00.000000	2026-01-23 23:13:00.000000	2026-01-24 12:13:00.000000	2026-01-25 03:13:00.000000	2026-01-25 05:12:00.000000	Exited	1	1	0.62	1.03	13	15	1.98	31.63	20260123	2026-06-25
C000127	VC00746	I023	Importer 23	Construction	Y03	Terminal A	Export	2026-03-18 16:35:00.000000	2026-03-18 17:50:00.000000	2026-03-18 19:13:00.000000	2026-03-18 21:13:00.000000	2026-03-20 19:13:00.000000	2026-03-20 20:01:00.000000	Exited	1	1	1.25	1.38	2	46	0.8	51.43	20260318	2026-06-25
C000128	VC00606	I040	Importer 40	Electronics	Y04	Terminal A	Import	2025-09-27 13:29:00.000000	2025-09-27 15:52:00.000000	2025-09-27 16:30:00.000000	2025-09-28 14:30:00.000000	2025-09-30 22:30:00.000000	2025-09-30 22:59:00.000000	Exited	1	1	2.38	0.63	22	56	0.48	81.5	20250927	2026-06-25
C000132	VC00031	I024	Importer 24	Construction	Y03	Terminal A	Export	2025-04-04 16:52:00.000000	2025-04-04 19:30:00.000000	2025-04-04 20:10:00.000000	2025-04-05 07:10:00.000000	2025-04-05 23:10:00.000000	2025-04-05 23:51:00.000000	Exited	1	1	2.63	0.67	11	16	0.68	30.98	20250404	2026-06-25
C000136	VC00092	I015	Importer 15	Construction	Y03	Terminal A	Export	2026-11-11 14:04:00.000000	2026-11-11 17:00:00.000000	2026-11-11 20:20:00.000000	2026-11-13 06:20:00.000000	2026-11-15 12:20:00.000000	2026-11-15 14:15:00.000000	Exited	1	1	2.93	3.33	34	54	1.92	96.18	20261111	2026-06-25
C000139	VC00906	I003	Importer 3	Retail	Y03	Terminal A	Export	2026-09-01 20:41:00.000000	2026-09-01 22:38:00.000000	2026-09-02 02:25:00.000000	2026-09-02 06:25:00.000000	2026-09-04 09:25:00.000000	2026-09-04 11:17:00.000000	Exited	1	1	1.95	3.78	4	51	1.87	62.6	20260901	2026-06-25
C000145	VC00457	I035	Importer 35	Electronics	Y05	Terminal A	Export	2025-01-03 14:35:00.000000	2025-01-03 16:15:00.000000	2025-01-03 18:24:00.000000	2025-01-05 18:24:00.000000	2025-01-06 11:24:00.000000	2025-01-06 12:45:00.000000	Exited	1	1	1.67	2.15	48	17	1.35	70.17	20250103	2026-06-25
C000146	VC00202	I041	Importer 41	Automotive	Y03	Terminal A	Export	2026-01-10 21:49:00.000000	2026-01-10 22:27:00.000000	2026-01-11 01:07:00.000000	2026-01-12 11:07:00.000000	2026-01-14 07:07:00.000000	2026-01-14 08:58:00.000000	Exited	1	1	0.63	2.67	34	44	1.85	83.15	20260110	2026-06-25
C000152	VC00279	I007	Importer 7	Construction	Y03	Terminal A	Export	2025-07-04 23:06:00.000000	2025-07-04 23:47:00.000000	2025-07-05 01:40:00.000000	2025-07-05 14:40:00.000000	2025-07-07 13:40:00.000000	2025-07-07 14:53:00.000000	Exited	1	1	0.68	1.88	13	47	1.22	63.78	20250704	2026-06-25
C000155	VC00986	I027	Importer 27	Retail	Y03	Terminal A	Export	2026-05-25 02:15:00.000000	2026-05-25 04:59:00.000000	2026-05-25 07:36:00.000000	2026-05-26 12:36:00.000000	2026-05-29 03:36:00.000000	2026-05-29 05:24:00.000000	Exited	1	1	2.73	2.62	29	63	1.8	99.15	20260525	2026-06-25
C000159	VC00937	I010	Importer 10	Retail	Y03	Terminal A	Export	2025-06-08 14:10:00.000000	2025-06-08 15:43:00.000000	2025-06-08 17:48:00.000000	2025-06-10 01:48:00.000000	2025-06-10 05:48:00.000000	2025-06-10 07:44:00.000000	Exited	1	1	1.55	2.08	32	4	1.93	41.57	20250608	2026-06-25
C000160	VC00555	I014	Importer 14	Automotive	Y03	Terminal A	Export	2026-11-11 04:35:00.000000	2026-11-11 05:02:00.000000	2026-11-11 06:50:00.000000	NULL	NULL	NULL	In Yard	0	0	0.45	1.8	NULL	NULL	NULL	NULL	20261111	2026-06-25
C000170	VC00655	I035	Importer 35	Electronics	Y03	Terminal A	Export	2026-11-29 01:12:00.000000	2026-11-29 03:42:00.000000	2026-11-29 05:33:00.000000	2026-11-29 11:33:00.000000	2026-11-30 02:33:00.000000	2026-11-30 03:00:00.000000	Exited	1	1	2.5	1.85	6	15	0.45	25.8	20261129	2026-06-25
C000171	VC00470	I027	Importer 27	Retail	Y03	Terminal A	Export	2026-11-02 09:26:00.000000	2026-11-02 10:17:00.000000	2026-11-02 11:33:00.000000	2026-11-02 17:33:00.000000	2026-11-03 13:33:00.000000	2026-11-03 14:27:00.000000	Exited	1	1	0.85	1.27	6	20	0.9	29.02	20261102	2026-06-25
C000180	VC00564	I041	Importer 41	Automotive	Y04	Terminal A	Import	2026-11-20 09:30:00.000000	2026-11-20 11:48:00.000000	2026-11-20 13:27:00.000000	2026-11-22 09:27:00.000000	2026-11-24 10:27:00.000000	2026-11-24 11:26:00.000000	Exited	1	1	2.3	1.65	44	49	0.98	97.93	20261120	2026-06-25
C000181	VC00850	I005	Importer 5	Pharmaceutical	Y05	Terminal A	Export	2025-11-02 17:59:00.000000	2025-11-02 20:24:00.000000	2025-11-02 22:06:00.000000	2025-11-04 22:06:00.000000	2025-11-07 19:06:00.000000	2025-11-07 20:33:00.000000	Exited	1	1	2.42	1.7	48	69	1.45	122.57	20251102	2026-06-25
C000182	VC00037	I028	Importer 28	Construction	Y04	Terminal A	Import	2025-04-05 03:45:00.000000	2025-04-05 05:41:00.000000	2025-04-05 09:09:00.000000	2025-04-05 18:09:00.000000	2025-04-08 18:09:00.000000	2025-04-08 18:59:00.000000	Exited	1	1	1.93	3.47	9	72	0.83	87.23	20250405	2026-06-25
C000183	VC00454	I041	Importer 41	Automotive	Y05	Terminal A	Export	2026-06-25 06:18:00.000000	2026-06-25 07:54:00.000000	2026-06-25 11:18:00.000000	NULL	NULL	NULL	In Yard	0	0	1.6	3.4	NULL	NULL	NULL	NULL	20260625	2026-06-25
C000185	VC00676	I001	Importer 1	Construction	Y03	Terminal A	Export	2026-06-03 03:48:00.000000	2026-06-03 04:07:00.000000	2026-06-03 07:34:00.000000	2026-06-03 08:34:00.000000	2026-06-05 21:34:00.000000	2026-06-05 21:49:00.000000	Exited	1	1	0.32	3.45	1	61	0.25	66.02	20260603	2026-06-25
C000211	VC00025	I031	Importer 31	Construction	Y05	Terminal A	Export	2025-10-29 06:22:00.000000	2025-10-29 08:08:00.000000	2025-10-29 09:57:00.000000	2025-10-30 20:57:00.000000	2025-10-31 15:57:00.000000	2025-10-31 16:30:00.000000	Exited	1	1	1.77	1.82	35	19	0.55	58.13	20251029	2026-06-25
C000213	VC00222	I023	Importer 23	Construction	Y04	Terminal A	Import	2026-07-23 19:14:00.000000	2026-07-23 19:43:00.000000	2026-07-23 21:13:00.000000	2026-07-25 09:13:00.000000	2026-07-25 16:13:00.000000	2026-07-25 17:22:00.000000	Exited	1	1	0.48	1.5	36	7	1.15	46.13	20260723	2026-06-25
C000215	VC00776	I040	Importer 40	Electronics	Y05	Terminal A	Export	2025-02-24 08:49:00.000000	2025-02-24 11:32:00.000000	2025-02-24 14:26:00.000000	NULL	NULL	NULL	In Yard	0	0	2.72	2.9	NULL	NULL	NULL	NULL	20250224	2026-06-25
C000216	VC00307	I001	Importer 1	Construction	Y04	Terminal A	Import	2025-04-12 14:34:00.000000	2025-04-12 16:13:00.000000	2025-04-12 17:24:00.000000	2025-04-12 20:24:00.000000	2025-04-15 12:24:00.000000	2025-04-15 13:07:00.000000	Exited	1	1	1.65	1.18	3	64	0.72	70.55	20250412	2026-06-25
C000220	VC00382	I047	Importer 47	Electronics	Y03	Terminal A	Export	2026-03-17 19:22:00.000000	2026-03-17 19:44:00.000000	2026-03-17 21:04:00.000000	2026-03-18 09:04:00.000000	2026-03-19 14:04:00.000000	2026-03-19 14:52:00.000000	Exited	1	1	0.37	1.33	12	29	0.8	43.5	20260317	2026-06-25
C000224	VC00216	I009	Importer 9	Construction	Y04	Terminal A	Import	2025-04-12 06:33:00.000000	2025-04-12 07:18:00.000000	2025-04-12 08:24:00.000000	NULL	NULL	NULL	In Yard	0	0	0.75	1.1	NULL	NULL	NULL	NULL	20250412	2026-06-25
C000226	VC00518	I004	Importer 4	Automotive	Y05	Terminal A	Export	2025-09-04 10:00:00.000000	2025-09-04 11:03:00.000000	2025-09-04 13:50:00.000000	2025-09-04 23:50:00.000000	2025-09-06 17:50:00.000000	2025-09-06 18:36:00.000000	Exited	1	1	1.05	2.78	10	42	0.77	56.6	20250904	2026-06-25
C000230	VC00864	I015	Importer 15	Construction	Y04	Terminal A	Import	2025-05-02 23:17:00.000000	2025-05-03 02:00:00.000000	2025-05-03 04:12:00.000000	2025-05-04 18:12:00.000000	2025-05-04 23:12:00.000000	2025-05-04 23:53:00.000000	Exited	1	1	2.72	2.2	38	5	0.68	48.6	20250502	2026-06-25
C000234	VC00797	I002	Importer 2	Pharmaceutical	Y03	Terminal A	Export	2025-09-17 08:41:00.000000	2025-09-17 10:40:00.000000	2025-09-17 12:44:00.000000	2025-09-18 09:44:00.000000	2025-09-19 20:44:00.000000	2025-09-19 21:47:00.000000	Exited	1	1	1.98	2.07	21	35	1.05	61.1	20250917	2026-06-25
C000237	VC00818	I020	Importer 20	Electronics	Y05	Terminal A	Export	2025-05-30 05:19:00.000000	2025-05-30 07:53:00.000000	2025-05-30 09:14:00.000000	2025-06-01 05:14:00.000000	2025-06-03 00:14:00.000000	2025-06-03 01:01:00.000000	Exited	1	1	2.57	1.35	44	43	0.78	91.7	20250530	2026-06-25
C000240	VC00361	I026	Importer 26	Electronics	Y04	Terminal A	Import	2026-02-22 02:01:00.000000	2026-02-22 04:27:00.000000	2026-02-22 08:11:00.000000	NULL	NULL	NULL	In Yard	0	0	2.43	3.73	NULL	NULL	NULL	NULL	20260222	2026-06-25
C000246	VC00244	I025	Importer 25	Construction	Y04	Terminal A	Import	2025-08-21 23:53:00.000000	2025-08-22 01:48:00.000000	2025-08-22 03:55:00.000000	2025-08-23 05:55:00.000000	2025-08-23 14:55:00.000000	2025-08-23 16:18:00.000000	Exited	1	1	1.92	2.12	26	9	1.38	40.42	20250821	2026-06-25
C000248	VC00597	I012	Importer 12	Automotive	Y04	Terminal A	Import	2026-06-16 23:43:00.000000	2026-06-17 00:43:00.000000	2026-06-17 01:21:00.000000	2026-06-18 16:21:00.000000	2026-06-21 07:21:00.000000	2026-06-21 07:39:00.000000	Exited	1	1	1	0.63	39	63	0.3	103.93	20260616	2026-06-25
C000250	VC00923	I008	Importer 8	Electronics	Y03	Terminal A	Export	2025-07-07 15:08:00.000000	2025-07-07 17:35:00.000000	2025-07-07 18:07:00.000000	2025-07-08 21:07:00.000000	2025-07-11 00:07:00.000000	2025-07-11 00:42:00.000000	Exited	1	1	2.45	0.53	27	51	0.58	81.57	20250707	2026-06-25
C000251	VC00569	I014	Importer 14	Automotive	Y05	Terminal A	Export	2025-10-24 21:34:00.000000	2025-10-24 23:36:00.000000	2025-10-25 02:08:00.000000	2025-10-26 03:08:00.000000	2025-10-27 06:08:00.000000	2025-10-27 06:39:00.000000	Exited	1	1	2.03	2.53	25	27	0.52	57.08	20251024	2026-06-25
C000255	VC00215	I046	Importer 46	Construction	Y05	Terminal A	Export	2026-07-15 20:20:00.000000	2026-07-15 20:58:00.000000	2026-07-15 22:41:00.000000	2026-07-17 04:41:00.000000	2026-07-19 01:41:00.000000	2026-07-19 03:25:00.000000	Exited	1	1	0.63	1.72	30	45	1.73	79.08	20260715	2026-06-25
C000258	VC00004	I016	Importer 16	Construction	Y03	Terminal A	Export	2026-11-30 06:48:00.000000	2026-11-30 08:43:00.000000	2026-11-30 12:11:00.000000	NULL	NULL	NULL	In Yard	0	0	1.92	3.47	NULL	NULL	NULL	NULL	20261130	2026-06-25
C000260	VC00810	I029	Importer 29	Automotive	Y03	Terminal A	Export	2026-08-27 08:02:00.000000	2026-08-27 09:51:00.000000	2026-08-27 10:40:00.000000	2026-08-28 19:40:00.000000	2026-08-30 13:40:00.000000	2026-08-30 14:47:00.000000	Exited	1	1	1.82	0.82	33	42	1.12	78.75	20260827	2026-06-25
C000262	VC00483	I001	Importer 1	Construction	Y05	Terminal A	Export	2026-06-27 15:15:00.000000	2026-06-27 16:57:00.000000	2026-06-27 20:37:00.000000	2026-06-28 09:37:00.000000	2026-06-30 12:37:00.000000	2026-06-30 12:56:00.000000	Exited	1	1	1.7	3.67	13	51	0.32	69.68	20260627	2026-06-25
C000269	VC00106	I024	Importer 24	Construction	Y04	Terminal A	Import	2026-05-23 04:26:00.000000	2026-05-23 07:14:00.000000	2026-05-23 07:45:00.000000	2026-05-24 08:45:00.000000	2026-05-25 10:45:00.000000	2026-05-25 11:31:00.000000	Exited	1	1	2.8	0.52	25	26	0.77	55.08	20260523	2026-06-25
C000273	VC00152	I008	Importer 8	Electronics	Y04	Terminal A	Import	2025-04-15 07:46:00.000000	2025-04-15 10:19:00.000000	2025-04-15 12:30:00.000000	NULL	NULL	NULL	In Yard	0	0	2.55	2.18	NULL	NULL	NULL	NULL	20250415	2026-06-25
C000283	VC00252	I027	Importer 27	Retail	Y05	Terminal A	Export	2026-06-03 12:47:00.000000	2026-06-03 14:26:00.000000	2026-06-03 15:30:00.000000	2026-06-05 09:30:00.000000	2026-06-05 15:30:00.000000	2026-06-05 16:51:00.000000	Exited	1	1	1.65	1.07	42	6	1.35	52.07	20260603	2026-06-25
C000284	VC00558	I004	Importer 4	Automotive	Y04	Terminal A	Import	2026-03-30 06:12:00.000000	2026-03-30 07:25:00.000000	2026-03-30 11:02:00.000000	2026-03-31 03:02:00.000000	2026-04-01 06:02:00.000000	2026-04-01 07:26:00.000000	Exited	1	1	1.22	3.62	16	27	1.4	49.23	20260330	2026-06-25
C000286	VC00253	I006	Importer 6	Pharmaceutical	Y03	Terminal A	Export	2026-01-28 21:11:00.000000	2026-01-28 21:43:00.000000	2026-01-28 23:02:00.000000	2026-01-29 09:02:00.000000	2026-01-30 12:02:00.000000	2026-01-30 12:33:00.000000	Exited	1	1	0.53	1.32	10	27	0.52	39.37	20260128	2026-06-25
C000287	VC00054	I011	Importer 11	Automotive	Y04	Terminal A	Import	2025-12-11 21:41:00.000000	2025-12-11 22:48:00.000000	2025-12-12 00:18:00.000000	2025-12-13 04:18:00.000000	2025-12-15 16:18:00.000000	2025-12-15 17:12:00.000000	Exited	1	1	1.12	1.5	28	60	0.9	91.52	20251211	2026-06-25
C000288	VC00080	I029	Importer 29	Automotive	Y04	Terminal A	Import	2025-07-22 23:05:00.000000	2025-07-23 01:08:00.000000	2025-07-23 02:23:00.000000	2025-07-23 22:23:00.000000	2025-07-25 11:23:00.000000	2025-07-25 12:51:00.000000	Exited	1	1	2.05	1.25	20	37	1.47	61.77	20250722	2026-06-25
C000291	VC00896	I049	Importer 49	Automotive	Y05	Terminal A	Export	2026-01-22 19:10:00.000000	2026-01-22 21:02:00.000000	2026-01-22 23:21:00.000000	NULL	NULL	NULL	In Yard	0	0	1.87	2.32	NULL	NULL	NULL	NULL	20260122	2026-06-25
C000298	VC00574	I043	Importer 43	Construction	Y03	Terminal A	Export	2025-07-20 00:06:00.000000	2025-07-20 01:23:00.000000	2025-07-20 03:55:00.000000	2025-07-21 03:55:00.000000	2025-07-21 07:55:00.000000	2025-07-21 09:39:00.000000	Exited	1	1	1.28	2.53	24	4	1.73	33.55	20250720	2026-06-25
C000299	VC00652	I010	Importer 10	Retail	Y05	Terminal A	Export	2025-04-20 08:13:00.000000	2025-04-20 11:02:00.000000	2025-04-20 13:28:00.000000	NULL	NULL	NULL	In Yard	0	0	2.82	2.43	NULL	NULL	NULL	NULL	20250420	2026-06-25
C000305	VC00265	I027	Importer 27	Retail	Y05	Terminal A	Export	2025-08-28 15:26:00.000000	2025-08-28 17:46:00.000000	2025-08-28 18:16:00.000000	2025-08-30 15:16:00.000000	2025-09-01 21:16:00.000000	2025-09-01 22:38:00.000000	Exited	1	1	2.33	0.5	45	54	1.37	103.2	20250828	2026-06-25
C000306	VC00438	I032	Importer 32	Automotive	Y03	Terminal A	Export	2026-09-22 12:40:00.000000	2026-09-22 13:38:00.000000	2026-09-22 14:53:00.000000	2026-09-24 12:53:00.000000	2026-09-25 06:53:00.000000	2026-09-25 07:33:00.000000	Exited	1	1	0.97	1.25	46	18	0.67	66.88	20260922	2026-06-25
C000307	VC00637	I004	Importer 4	Automotive	Y03	Terminal A	Export	2025-01-23 18:17:00.000000	2025-01-23 19:00:00.000000	2025-01-23 21:25:00.000000	2025-01-24 11:25:00.000000	2025-01-25 11:25:00.000000	2025-01-25 12:05:00.000000	Exited	1	1	0.72	2.42	14	24	0.67	41.8	20250123	2026-06-25
C000309	VC00861	I038	Importer 38	Construction	Y04	Terminal A	Import	2025-07-09 18:30:00.000000	2025-07-09 19:06:00.000000	2025-07-09 21:12:00.000000	2025-07-10 02:12:00.000000	2025-07-11 22:12:00.000000	2025-07-11 22:30:00.000000	Exited	1	1	0.6	2.1	5	44	0.3	52	20250709	2026-06-25
C000311	VC00239	I034	Importer 34	Retail	Y05	Terminal A	Export	2026-09-17 02:58:00.000000	2026-09-17 03:23:00.000000	2026-09-17 04:17:00.000000	2026-09-17 05:17:00.000000	2026-09-19 06:17:00.000000	2026-09-19 07:49:00.000000	Exited	1	1	0.42	0.9	1	49	1.53	52.85	20260917	2026-06-25
