CalendarDate	DateKey	Year	Quarter	Month	MonthName	WeekOfYear	DayOfMonth	DayOfWeek	DayName	IsWeekend	YearMonth	YearQuarter	LoadDate
2025-02-08	20250208	2025	1	2	February	6	8	7	Saturday	1	2025-02	2025-Q1	2026-06-25
2025-02-09	20250209	2025	1	2	February	6	9	1	Sunday	1	2025-02	2025-Q1	2026-06-25
2025-02-10	20250210	2025	1	2	February	7	10	2	Monday	0	2025-02	2025-Q1	2026-06-25
2025-02-11	20250211	2025	1	2	February	7	11	3	Tuesday	0	2025-02	2025-Q1	2026-06-25
2025-02-12	20250212	2025	1	2	February	7	12	4	Wednesday	0	2025-02	2025-Q1	2026-06-25
2025-02-13	20250213	2025	1	2	February	7	13	5	Thursday	0	2025-02	2025-Q1	2026-06-25
2025-02-14	20250214	2025	1	2	February	7	14	6	Friday	0	2025-02	2025-Q1	2026-06-25
2025-02-15	20250215	2025	1	2	February	7	15	7	Saturday	1	2025-02	2025-Q1	2026-06-25
2025-02-16	20250216	2025	1	2	February	7	16	1	Sunday	1	2025-02	2025-Q1	2026-06-25
2025-02-17	20250217	2025	1	2	February	8	17	2	Monday	0	2025-02	2025-Q1	2026-06-25
2025-02-18	20250218	2025	1	2	February	8	18	3	Tuesday	0	2025-02	2025-Q1	2026-06-25
2025-02-19	20250219	2025	1	2	February	8	19	4	Wednesday	0	2025-02	2025-Q1	2026-06-25
2025-02-20	20250220	2025	1	2	February	8	20	5	Thursday	0	2025-02	2025-Q1	2026-06-25
2025-02-21	20250221	2025	1	2	February	8	21	6	Friday	0	2025-02	2025-Q1	2026-06-25
2025-02-22	20250222	2025	1	2	February	8	22	7	Saturday	1	2025-02	2025-Q1	2026-06-25
2025-02-23	20250223	2025	1	2	February	8	23	1	Sunday	1	2025-02	2025-Q1	2026-06-25
2025-02-24	20250224	2025	1	2	February	9	24	2	Monday	0	2025-02	2025-Q1	2026-06-25
2025-02-25	20250225	2025	1	2	February	9	25	3	Tuesday	0	2025-02	2025-Q1	2026-06-25
2025-02-26	20250226	2025	1	2	February	9	26	4	Wednesday	0	2025-02	2025-Q1	2026-06-25
2025-02-27	20250227	2025	1	2	February	9	27	5	Thursday	0	2025-02	2025-Q1	2026-06-25
2025-02-28	20250228	2025	1	2	February	9	28	6	Friday	0	2025-02	2025-Q1	2026-06-25
2025-03-01	20250301	2025	1	3	March	9	1	7	Saturday	1	2025-03	2025-Q1	2026-06-25
2025-03-02	20250302	2025	1	3	March	9	2	1	Sunday	1	2025-03	2025-Q1	2026-06-25
2025-03-03	20250303	2025	1	3	March	10	3	2	Monday	0	2025-03	2025-Q1	2026-06-25
2025-03-04	20250304	2025	1	3	March	10	4	3	Tuesday	0	2025-03	2025-Q1	2026-06-25
2025-03-05	20250305	2025	1	3	March	10	5	4	Wednesday	0	2025-03	2025-Q1	2026-06-25
2025-03-06	20250306	2025	1	3	March	10	6	5	Thursday	0	2025-03	2025-Q1	2026-06-25
2025-03-07	20250307	2025	1	3	March	10	7	6	Friday	0	2025-03	2025-Q1	2026-06-25
2025-03-08	20250308	2025	1	3	March	10	8	7	Saturday	1	2025-03	2025-Q1	2026-06-25
2025-03-09	20250309	2025	1	3	March	10	9	1	Sunday	1	2025-03	2025-Q1	2026-06-25
2025-03-10	20250310	2025	1	3	March	11	10	2	Monday	0	2025-03	2025-Q1	2026-06-25
2025-03-11	20250311	2025	1	3	March	11	11	3	Tuesday	0	2025-03	2025-Q1	2026-06-25
2025-03-12	20250312	2025	1	3	March	11	12	4	Wednesday	0	2025-03	2025-Q1	2026-06-25
2025-03-13	20250313	2025	1	3	March	11	13	5	Thursday	0	2025-03	2025-Q1	2026-06-25
2025-03-14	20250314	2025	1	3	March	11	14	6	Friday	0	2025-03	2025-Q1	2026-06-25
2025-03-15	20250315	2025	1	3	March	11	15	7	Saturday	1	2025-03	2025-Q1	2026-06-25
2025-03-16	20250316	2025	1	3	March	11	16	1	Sunday	1	2025-03	2025-Q1	2026-06-25
2025-03-17	20250317	2025	1	3	March	12	17	2	Monday	0	2025-03	2025-Q1	2026-06-25
2025-03-18	20250318	2025	1	3	March	12	18	3	Tuesday	0	2025-03	2025-Q1	2026-06-25
2025-03-19	20250319	2025	1	3	March	12	19	4	Wednesday	0	2025-03	2025-Q1	2026-06-25
2025-03-20	20250320	2025	1	3	March	12	20	5	Thursday	0	2025-03	2025-Q1	2026-06-25
2025-03-21	20250321	2025	1	3	March	12	21	6	Friday	0	2025-03	2025-Q1	2026-06-25
2025-03-22	20250322	2025	1	3	March	12	22	7	Saturday	1	2025-03	2025-Q1	2026-06-25
2025-03-23	20250323	2025	1	3	March	12	23	1	Sunday	1	2025-03	2025-Q1	2026-06-25
2025-03-24	20250324	2025	1	3	March	13	24	2	Monday	0	2025-03	2025-Q1	2026-06-25
2025-03-25	20250325	2025	1	3	March	13	25	3	Tuesday	0	2025-03	2025-Q1	2026-06-25
2025-03-26	20250326	2025	1	3	March	13	26	4	Wednesday	0	2025-03	2025-Q1	2026-06-25
2025-03-27	20250327	2025	1	3	March	13	27	5	Thursday	0	2025-03	2025-Q1	2026-06-25
2025-03-28	20250328	2025	1	3	March	13	28	6	Friday	0	2025-03	2025-Q1	2026-06-25
2025-03-29	20250329	2025	1	3	March	13	29	7	Saturday	1	2025-03	2025-Q1	2026-06-25
2025-03-30	20250330	2025	1	3	March	13	30	1	Sunday	1	2025-03	2025-Q1	2026-06-25
2025-03-31	20250331	2025	1	3	March	14	31	2	Monday	0	2025-03	2025-Q1	2026-06-25
2025-04-01	20250401	2025	2	4	April	14	1	3	Tuesday	0	2025-04	2025-Q2	2026-06-25
2025-04-02	20250402	2025	2	4	April	14	2	4	Wednesday	0	2025-04	2025-Q2	2026-06-25
2025-04-03	20250403	2025	2	4	April	14	3	5	Thursday	0	2025-04	2025-Q2	2026-06-25
2025-04-04	20250404	2025	2	4	April	14	4	6	Friday	0	2025-04	2025-Q2	2026-06-25
2025-04-05	20250405	2025	2	4	April	14	5	7	Saturday	1	2025-04	2025-Q2	2026-06-25
2025-04-06	20250406	2025	2	4	April	14	6	1	Sunday	1	2025-04	2025-Q2	2026-06-25
2025-04-07	20250407	2025	2	4	April	15	7	2	Monday	0	2025-04	2025-Q2	2026-06-25
2025-04-08	20250408	2025	2	4	April	15	8	3	Tuesday	0	2025-04	2025-Q2	2026-06-25
2025-04-09	20250409	2025	2	4	April	15	9	4	Wednesday	0	2025-04	2025-Q2	2026-06-25
2025-04-10	20250410	2025	2	4	April	15	10	5	Thursday	0	2025-04	2025-Q2	2026-06-25
