CalendarDate	Terminal	ContainersArrived	ContainersExited	AvgDwellHrs	AvgCustomsHoldHrs	AvgUnloadToYardHrs	AvgCraneMovesPerHour	AvgCraneUtilisationPct	TotalCraneDowntimeMins	TotalCraneMoves	TotalGateTxns	AvgGateProcessingMins	PeakHourTxns	InboundTxns	OutboundTxns	TotalMaintenanceDowntimeHrs	TotalMaintenanceCost	MaintenanceEvents	CorrectiveEvents	DateKey	LoadDate
2025-01-11	Terminal A	14	9	74.55	25.22	1.67	5.7	87.89	121	82	13	46.54	3	9	4	NULL	NULL	NULL	NULL	20250111	2026-06-25
2025-01-12	Terminal A	14	12	67.44	32.17	1.55	7.52	91.01	77	91	6	71.67	3	1	5	8	34291	1	1	20250112	2026-06-25
2025-01-13	Terminal A	15	13	67.08	23.38	1.69	7.13	85.44	76	53	12	45.75	4	4	8	NULL	NULL	NULL	NULL	20250113	2026-06-25
2025-01-14	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	55.38	3	7	1	NULL	NULL	NULL	NULL	20250114	2026-06-25
2025-01-15	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	52.86	3	6	1	NULL	NULL	NULL	NULL	20250115	2026-06-25
2025-01-16	Terminal A	5	5	70.27	29.4	1.21	7.71	85.23	136	99	9	45.89	2	2	7	3	26237	1	1	20250116	2026-06-25
2025-01-17	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13	50.62	4	7	6	NULL	NULL	NULL	NULL	20250117	2026-06-25
2025-01-18	Terminal A	10	9	66.87	27.33	1.69	8.17	91.68	123	175	14	47.71	5	7	7	9	33652	1	1	20250118	2026-06-25
2025-01-19	Terminal A	4	4	57.82	27.5	1.56	NULL	NULL	NULL	NULL	8	49.25	3	5	3	NULL	NULL	NULL	NULL	20250119	2026-06-25
2025-01-20	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	58.36	5	6	8	NULL	NULL	NULL	NULL	20250120	2026-06-25
2025-01-21	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	45.25	4	4	8	NULL	NULL	NULL	NULL	20250121	2026-06-25
2025-01-22	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	46	3	6	6	NULL	NULL	NULL	NULL	20250122	2026-06-25
2025-01-23	Terminal A	14	13	71.32	26.23	1.78	11.42	89.52	134	193	8	46	5	2	6	NULL	NULL	NULL	NULL	20250123	2026-06-25
2025-01-24	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	44.25	6	8	4	NULL	NULL	NULL	NULL	20250124	2026-06-25
2025-01-25	Terminal A	7	7	61.74	27.14	0.72	NULL	NULL	NULL	NULL	12	54.83	1	6	6	NULL	NULL	NULL	NULL	20250125	2026-06-25
2025-01-26	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13	55.85	4	5	8	NULL	NULL	NULL	NULL	20250126	2026-06-25
2025-01-27	Terminal A	4	4	47.32	20	1.95	NULL	NULL	NULL	NULL	11	54.55	5	8	3	NULL	NULL	NULL	NULL	20250127	2026-06-25
2025-01-28	Terminal A	12	10	42.95	17.1	1.99	5.63	97.61	32	125	7	46.86	2	4	3	11	22442	1	1	20250128	2026-06-25
2025-01-29	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	60.14	3	5	9	NULL	NULL	NULL	NULL	20250129	2026-06-25
2025-01-30	Terminal A	7	7	70.98	28.71	1.46	3.94	97.52	12	31	10	44.9	3	8	2	NULL	NULL	NULL	NULL	20250130	2026-06-25
2025-01-31	Terminal A	8	8	67.22	21.13	1.18	NULL	NULL	NULL	NULL	11	48	2	6	5	NULL	NULL	NULL	NULL	20250131	2026-06-25
2025-02-01	Terminal A	6	6	84.63	37.5	2.01	7.18	95.15	23	54	13	46.31	4	6	7	NULL	NULL	NULL	NULL	20250201	2026-06-25
2025-02-02	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	66.78	3	5	4	NULL	NULL	NULL	NULL	20250202	2026-06-25
2025-02-03	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	38.38	3	4	4	11	16594	1	1	20250203	2026-06-25
2025-02-04	Terminal A	5	4	51.37	27	1.54	NULL	NULL	NULL	NULL	14	38.07	8	10	4	NULL	NULL	NULL	NULL	20250204	2026-06-25
2025-02-05	Terminal A	5	5	67.39	23.2	1.78	NULL	NULL	NULL	NULL	11	49.64	2	7	4	NULL	NULL	NULL	NULL	20250205	2026-06-25
2025-02-06	Terminal A	21	18	64.06	22.78	1.68	10.18	95.53	32	113	8	55.25	0	3	5	NULL	NULL	NULL	NULL	20250206	2026-06-25
2025-02-07	Terminal A	13	11	62.49	25.64	1.63	9.81	94.32	28	76	14	49	2	7	7	NULL	NULL	NULL	NULL	20250207	2026-06-25
2025-02-08	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	53.8	5	3	7	NULL	NULL	NULL	NULL	20250208	2026-06-25
2025-02-09	Terminal A	9	8	74.82	22.88	1.76	8.86	91.28	102	159	12	54.33	5	9	3	NULL	NULL	NULL	NULL	20250209	2026-06-25
2025-02-10	Terminal A	1	1	48.7	29	0.45	NULL	NULL	NULL	NULL	10	60.3	4	4	6	NULL	NULL	NULL	NULL	20250210	2026-06-25
2025-02-11	Terminal A	7	4	72.55	23.5	1.79	8.13	84.22	83	60	11	48.82	2	7	4	NULL	NULL	NULL	NULL	20250211	2026-06-25
2025-02-12	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	52.43	1	6	8	NULL	NULL	NULL	NULL	20250212	2026-06-25
2025-02-13	Terminal A	20	17	57.19	24.35	1.78	8.76	85.56	377	324	14	43.21	4	6	8	NULL	NULL	NULL	NULL	20250213	2026-06-25
2025-02-14	Terminal A	21	18	71.08	28.94	1.78	7.02	90.21	125	130	10	55.4	2	3	7	2	20891	1	0	20250214	2026-06-25
2025-02-15	Terminal A	22	20	77.79	25.85	1.9	5.96	95.59	51	100	11	46	4	4	7	1	21496	1	0	20250215	2026-06-25
2025-02-16	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	42.29	2	4	10	7	59422	1	0	20250216	2026-06-25
2025-02-17	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	50.92	1	7	5	NULL	NULL	NULL	NULL	20250217	2026-06-25
2025-02-18	Terminal A	6	6	58.12	20.83	1.37	6.13	90.12	88	77	14	42.57	7	8	6	NULL	NULL	NULL	NULL	20250218	2026-06-25
2025-02-19	Terminal A	5	4	50.17	17.75	1.46	NULL	NULL	NULL	NULL	14	60.93	5	5	9	NULL	NULL	NULL	NULL	20250219	2026-06-25
2025-02-20	Terminal A	19	17	69.69	23.88	1.63	11.34	90.64	76	131	8	51.5	2	2	6	NULL	NULL	NULL	NULL	20250220	2026-06-25
2025-02-21	Terminal A	25	21	67.07	23.19	1.63	4.4	89.33	141	90	7	42.43	2	5	2	10	41418	1	0	20250221	2026-06-25
2025-02-22	Terminal A	9	8	77.02	24.75	1.49	NULL	NULL	NULL	NULL	14	59.93	2	8	6	NULL	NULL	NULL	NULL	20250222	2026-06-25
2025-02-23	Terminal A	14	12	61.4	26.67	1.91	9.82	97.41	12	74	9	51.11	3	5	4	NULL	NULL	NULL	NULL	20250223	2026-06-25
2025-02-24	Terminal A	9	7	65.23	31.43	1.97	NULL	NULL	NULL	NULL	11	49.55	2	5	6	NULL	NULL	NULL	NULL	20250224	2026-06-25
2025-02-25	Terminal A	10	9	57.59	23.44	1.85	7.45	91.05	163	185	11	48.18	3	5	6	15	95658	2	0	20250225	2026-06-25
2025-02-26	Terminal A	18	15	67.57	26.33	1.12	NULL	NULL	NULL	NULL	16	50	7	6	10	NULL	NULL	NULL	NULL	20250226	2026-06-25
2025-02-27	Terminal A	12	11	75.77	29.36	1.9	7.53	86.69	172	148	13	47.54	6	7	6	NULL	NULL	NULL	NULL	20250227	2026-06-25
2025-02-28	Terminal A	13	10	69.63	20.4	2.08	10.86	94.6	83	256	17	52.18	3	9	8	NULL	NULL	NULL	NULL	20250228	2026-06-25
2025-03-01	Terminal A	2	2	36.55	28.5	1.7	NULL	NULL	NULL	NULL	9	56.44	5	5	4	9	30973	1	1	20250301	2026-06-25
2025-03-02	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8	48.75	1	4	4	NULL	NULL	NULL	NULL	20250302	2026-06-25
2025-03-03	Terminal A	5	5	61.23	23.2	1.87	NULL	NULL	NULL	NULL	10	47.7	3	4	6	NULL	NULL	NULL	NULL	20250303	2026-06-25
2025-03-04	Terminal A	14	12	69.87	28.75	1.51	12.74	92.86	25	69	15	50.8	4	5	10	NULL	NULL	NULL	NULL	20250304	2026-06-25
2025-03-05	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	53.29	3	7	7	NULL	NULL	NULL	NULL	20250305	2026-06-25
2025-03-06	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	56.78	2	6	3	NULL	NULL	NULL	NULL	20250306	2026-06-25
2025-03-07	Terminal A	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	41.89	5	5	4	NULL	NULL	NULL	NULL	20250307	2026-06-25
2025-03-08	Terminal A	16	12	65.98	24.42	1.81	7.57	91.79	118	161	14	44.21	2	8	6	NULL	NULL	NULL	NULL	20250308	2026-06-25
2025-03-09	Terminal A	13	12	63.47	25.5	1.44	9.91	91.48	31	55	8	59.75	1	4	4	NULL	NULL	NULL	NULL	20250309	2026-06-25
2025-03-10	Terminal A	5	5	46.24	22	1.67	8.31	95.35	19	54	14	62.71	3	5	9	7	75085	1	1	20250310	2026-06-25
2025-03-11	Terminal A	17	15	71.64	25.47	1.64	6.04	93.62	21	31	8	44.63	4	4	4	11	37471	1	0	20250311	2026-06-25
2025-03-12	Terminal A	16	15	59.54	26.73	1.51	8.36	92.6	98	169	8	49	1	4	4	NULL	NULL	NULL	NULL	20250312	2026-06-25
2025-03-13	Terminal A	25	23	72.82	23.96	1.63	8.58	91.98	104	162	6	66.33	2	2	4	NULL	NULL	NULL	NULL	20250313	2026-06-25
2025-03-14	Terminal A	2	1	101.52	24	2.64	10.14	84.76	66	62	5	59	2	1	4	NULL	NULL	NULL	NULL	20250314	2026-06-25
2025-03-15	Terminal A	7	5	68.71	32	1.02	NULL	NULL	NULL	NULL	12	51.67	2	5	7	12	93901	1	0	20250315	2026-06-25
2025-03-16	Terminal A	14	12	72.62	24.5	1.86	5.39	93.15	61	73	12	59.33	3	6	6	2	99108	1	1	20250316	2026-06-25
2025-03-17	Terminal A	1	1	99.03	41	0.55	7.26	94.88	51	111	17	60.41	7	6	11	NULL	NULL	NULL	NULL	20250317	2026-06-25
2025-03-18	Terminal A	12	7	54	21.14	1.75	11.88	100	0	61	11	48	6	6	5	8	125355	2	2	20250318	2026-06-25
2025-03-19	Terminal A	7	7	61.09	21.43	1.48	NULL	NULL	NULL	NULL	11	56.64	5	5	6	NULL	NULL	NULL	NULL	20250319	2026-06-25
2025-03-20	Terminal A	6	5	76.14	25.2	1.96	11.32	100	0	77	11	42.27	5	7	4	NULL	NULL	NULL	NULL	20250320	2026-06-25
2025-03-21	Terminal A	6	6	66.93	22.17	1.8	10.23	83.82	77	68	13	48.69	2	7	6	NULL	NULL	NULL	NULL	20250321	2026-06-25
2025-03-22	Terminal A	12	11	71.84	21.55	1.25	6.33	91	45	48	7	36.86	2	6	1	2	58522	1	1	20250322	2026-06-25
2025-03-23	Terminal A	11	10	66.15	22.4	1.62	9.93	94.57	44	124	8	55.25	1	6	2	NULL	NULL	NULL	NULL	20250323	2026-06-25
2025-03-24	Terminal A	22	19	63.29	27.47	1.39	7.59	88.87	310	280	16	46.13	5	6	10	NULL	NULL	NULL	NULL	20250324	2026-06-25
2025-03-25	Terminal A	9	7	53.02	22.14	1.28	NULL	NULL	NULL	NULL	4	74.5	1	2	2	11	82619	1	0	20250325	2026-06-25
2025-03-26	Terminal A	12	11	75.28	25.82	1.67	NULL	NULL	NULL	NULL	9	53.11	4	6	3	NULL	NULL	NULL	NULL	20250326	2026-06-25
2025-03-27	Terminal A	13	12	63.75	19.67	1.8	11.72	83.45	68	67	13	50.92	6	7	6	NULL	NULL	NULL	NULL	20250327	2026-06-25
2025-03-28	Terminal A	5	4	80.91	41.5	1.32	NULL	NULL	NULL	NULL	6	69.33	3	2	4	NULL	NULL	NULL	NULL	20250328	2026-06-25
2025-03-29	Terminal A	12	11	73.36	32.09	1.1	NULL	NULL	NULL	NULL	10	62	3	6	4	NULL	NULL	NULL	NULL	20250329	2026-06-25
2025-03-30	Terminal A	15	13	67.6	20.15	1.79	NULL	NULL	NULL	NULL	10	53.1	0	6	4	4	10385	1	1	20250330	2026-06-25
2025-03-31	Terminal A	6	5	87.95	26.2	1.08	NULL	NULL	NULL	NULL	10	52.5	2	3	7	NULL	NULL	NULL	NULL	20250331	2026-06-25
2025-04-01	Terminal A	8	7	96.37	37.71	1.66	13.04	85.19	60	75	9	61.89	2	6	3	NULL	NULL	NULL	NULL	20250401	2026-06-25
2025-04-02	Terminal A	18	17	61.48	21.35	1.41	8.29	84.49	200	149	13	51.77	5	5	8	11	80064	1	0	20250402	2026-06-25
2025-04-03	Terminal A	4	2	68.42	10	1.33	13.19	87.53	46	71	18	40.78	3	11	7	NULL	NULL	NULL	NULL	20250403	2026-06-25
2025-04-04	Terminal A	8	8	57.88	14.38	1.82	NULL	NULL	NULL	NULL	7	48	0	3	4	NULL	NULL	NULL	NULL	20250404	2026-06-25
2025-04-05	Terminal A	4	4	70.34	18.75	1.66	7.21	88.46	51	47	15	39.07	4	6	9	7	78527	1	0	20250405	2026-06-25
2025-04-06	Terminal A	14	12	71.72	22.17	1.44	NULL	NULL	NULL	NULL	12	62.25	2	8	4	NULL	NULL	NULL	NULL	20250406	2026-06-25
2025-04-07	Terminal A	3	3	68.07	18.33	2.39	NULL	NULL	NULL	NULL	8	33.5	2	6	2	NULL	NULL	NULL	NULL	20250407	2026-06-25
2025-04-08	Terminal A	8	6	75.68	28.17	1.32	NULL	NULL	NULL	NULL	15	51.53	4	9	6	21	127026	3	0	20250408	2026-06-25
2025-04-09	Terminal A	10	7	54.67	22.14	2.32	NULL	NULL	NULL	NULL	17	51.76	7	9	8	NULL	NULL	NULL	NULL	20250409	2026-06-25
2025-04-10	Terminal A	18	12	72.59	26.25	1.88	7.75	93.77	103	182	5	59.4	0	3	2	NULL	NULL	NULL	NULL	20250410	2026-06-25
