VesselCallID	Terminal	TotalMovesCompleted	TotalActiveMinutes	TotalDowntimeMinutes	CranesDeployed	OperationStart	OperationEnd	MovesPerHour	CraneUtilisationPct	OperationDurationHours	OperationDateKey	LoadDate
VC00403	Terminal A	74	348	7	1	2025-04-23 13:48:00.000000	2025-04-23 13:48:00.000000	12.76	98.03	0	20250423	2026-06-25
VC00301	Terminal A	80	443	30	1	2026-03-14 07:14:00.000000	2026-03-14 07:14:00.000000	10.84	93.66	0	20260314	2026-06-25
VC00494	Terminal A	68	410	9	1	2025-02-09 13:58:00.000000	2025-02-09 13:58:00.000000	9.95	97.85	0	20250209	2026-06-25
VC00182	Terminal A	39	359	50	1	2026-09-05 11:32:00.000000	2026-09-05 11:32:00.000000	6.52	87.78	0	20260905	2026-06-25
VC00871	Terminal A	35	315	71	1	2025-07-05 10:13:00.000000	2025-07-05 10:13:00.000000	6.67	81.61	0	20250705	2026-06-25
VC00799	Terminal A	79	446	18	1	2026-09-26 02:21:00.000000	2026-09-26 02:21:00.000000	10.63	96.12	0	20260926	2026-06-25
VC00400	Terminal A	116	794	80	1	2026-06-13 07:05:00.000000	2026-06-13 07:05:00.000000	8.77	90.85	0	20260613	2026-06-25
VC00138	Terminal A	77	417	18	1	2025-10-21 20:42:00.000000	2025-10-21 20:42:00.000000	11.08	95.86	0	20251021	2026-06-25
VC00319	Terminal A	101	795	22	1	2026-06-28 20:09:00.000000	2026-06-28 20:09:00.000000	7.62	97.31	0	20260628	2026-06-25
VC00672	Terminal A	51	319	59	1	2026-11-04 07:50:00.000000	2026-11-04 07:50:00.000000	9.59	84.39	0	20261104	2026-06-25
VC00900	Terminal A	25	359	80	1	2026-01-13 12:08:00.000000	2026-01-13 12:08:00.000000	4.18	81.78	0	20260113	2026-06-25
VC00408	Terminal A	57	323	32	1	2026-04-19 12:57:00.000000	2026-04-19 12:57:00.000000	10.59	90.99	0	20260419	2026-06-25
VC00724	Terminal A	124	779	44	2	2025-03-23 17:32:00.000000	2025-03-23 17:32:00.000000	9.55	94.65	0	20250323	2026-06-25
VC00648	Terminal A	78	404	53	1	2026-04-16 06:53:00.000000	2026-04-16 06:53:00.000000	11.58	88.4	0	20260416	2026-06-25
VC00666	Terminal A	91	725	67	2	2026-01-28 06:17:00.000000	2026-01-28 06:17:00.000000	7.53	91.54	0	20260128	2026-06-25
VC00928	Terminal A	48	354	76	1	2025-06-23 08:15:00.000000	2025-06-23 08:15:00.000000	8.14	82.33	0	20250623	2026-06-25
VC00121	Terminal A	43	395	67	1	2026-09-05 04:35:00.000000	2026-09-05 04:35:00.000000	6.53	85.5	0	20260905	2026-06-25
VC00467	Terminal A	38	465	12	1	2025-08-14 10:12:00.000000	2025-08-14 10:12:00.000000	4.9	97.48	0	20250814	2026-06-25
VC00948	Terminal A	59	346	6	1	2026-03-24 00:12:00.000000	2026-03-24 00:12:00.000000	10.23	98.3	0	20260324	2026-06-25
VC00629	Terminal A	56	438	89	1	2026-07-21 05:19:00.000000	2026-07-21 05:19:00.000000	7.67	83.11	0	20260721	2026-06-25
VC00386	Terminal A	58	680	76	1	2025-12-08 21:12:00.000000	2025-12-08 21:12:00.000000	5.12	89.95	0	20251208	2026-06-25
VC00385	Terminal A	115	776	138	2	2026-02-17 04:51:00.000000	2026-02-17 04:51:00.000000	8.89	84.9	0	20260217	2026-06-25
VC00102	Terminal A	64	352	74	1	2026-01-08 03:54:00.000000	2026-01-08 03:54:00.000000	10.91	82.63	0	20260108	2026-06-25
VC00659	Terminal A	20	406	77	1	2026-01-24 13:28:00.000000	2026-01-24 13:28:00.000000	2.96	84.06	0	20260124	2026-06-25
VC00765	Terminal A	48	423	30	1	2026-04-23 15:16:00.000000	2026-04-23 15:16:00.000000	6.81	93.38	0	20260423	2026-06-25
VC00528	Terminal A	79	452	38	1	2026-11-21 00:56:00.000000	2026-11-21 00:56:00.000000	10.49	92.24	0	20261121	2026-06-25
VC00375	Terminal A	72	835	101	2	2026-12-04 09:18:00.000000	2026-12-04 09:18:00.000000	5.17	89.21	0	20261204	2026-06-25
VC00176	Terminal A	62	474	20	1	2026-10-19 06:40:00.000000	2026-10-19 06:40:00.000000	7.85	95.95	0	20261019	2026-06-25
VC00744	Terminal A	108	850	78	1	2026-07-03 10:48:00.000000	2026-07-03 10:48:00.000000	7.62	91.59	0	20260703	2026-06-25
VC00080	Terminal A	45	349	63	1	2025-07-23 01:18:00.000000	2025-07-23 01:18:00.000000	7.74	84.71	0	20250723	2026-06-25
VC00024	Terminal A	76	372	73	1	2026-10-14 05:33:00.000000	2026-10-14 05:33:00.000000	12.26	83.6	0	20261014	2026-06-25
VC00098	Terminal A	58	348	27	1	2026-01-26 20:27:00.000000	2026-01-26 20:27:00.000000	10	92.8	0	20260126	2026-06-25
VC00945	Terminal A	33	343	26	1	2026-02-08 00:50:00.000000	2026-02-08 00:50:00.000000	5.77	92.95	0	20260208	2026-06-25
VC00708	Terminal A	60	419	68	1	2026-01-03 04:01:00.000000	2026-01-03 04:01:00.000000	8.59	86.04	0	20260103	2026-06-25
VC00793	Terminal A	32	323	25	1	2026-11-01 01:16:00.000000	2026-11-01 01:16:00.000000	5.94	92.82	0	20261101	2026-06-25
VC00215	Terminal A	24	436	87	1	2026-07-15 23:59:00.000000	2026-07-15 23:59:00.000000	3.3	83.37	0	20260715	2026-06-25
VC00411	Terminal A	62	396	14	1	2026-11-09 13:23:00.000000	2026-11-09 13:23:00.000000	9.39	96.59	0	20261109	2026-06-25
VC00540	Terminal A	34	301	33	1	2026-08-05 16:29:00.000000	2026-08-05 16:29:00.000000	6.78	90.12	0	20260805	2026-06-25
VC00811	Terminal A	59	364	89	1	2026-01-15 19:16:00.000000	2026-01-15 19:16:00.000000	9.73	80.35	0	20260115	2026-06-25
VC00997	Terminal A	201	1214	110	2	2025-06-13 09:41:00.000000	2025-06-13 09:41:00.000000	9.93	91.69	0	20250613	2026-06-25
VC00591	Terminal A	47	420	63	1	2026-02-09 19:08:00.000000	2026-02-09 19:08:00.000000	6.71	86.96	0	20260209	2026-06-25
VC00216	Terminal A	26	471	11	1	2025-04-12 10:20:00.000000	2025-04-12 10:20:00.000000	3.31	97.72	0	20250412	2026-06-25
VC00740	Terminal A	185	1620	163	2	2025-02-25 13:06:00.000000	2025-02-25 13:06:00.000000	6.85	90.86	0	20250225	2026-06-25
VC00390	Terminal A	47	335	54	1	2026-10-15 06:06:00.000000	2026-10-15 06:06:00.000000	8.42	86.12	0	20261015	2026-06-25
VC00321	Terminal A	104	871	115	1	2026-04-18 05:57:00.000000	2026-04-18 05:57:00.000000	7.16	88.34	0	20260418	2026-06-25
VC00536	Terminal A	60	409	28	1	2025-01-04 17:36:00.000000	2025-01-04 17:36:00.000000	8.8	93.59	0	20250104	2026-06-25
VC00803	Terminal A	114	770	37	1	2025-04-27 15:58:00.000000	2025-04-27 15:58:00.000000	8.88	95.42	0	20250427	2026-06-25
VC00493	Terminal A	30	380	65	1	2025-08-06 02:03:00.000000	2025-08-06 02:03:00.000000	4.74	85.39	0	20250806	2026-06-25
VC00186	Terminal A	51	413	20	1	2026-08-10 01:30:00.000000	2026-08-10 01:30:00.000000	7.41	95.38	0	20260810	2026-06-25
VC00462	Terminal A	131	717	45	1	2026-07-28 00:55:00.000000	2026-07-28 00:55:00.000000	10.96	94.09	0	20260728	2026-06-25
VC00014	Terminal A	80	449	72	1	2025-09-23 14:46:00.000000	2025-09-23 14:46:00.000000	10.69	86.18	0	20250923	2026-06-25
VC00464	Terminal A	66	433	35	1	2025-04-11 15:47:00.000000	2025-04-11 15:47:00.000000	9.15	92.52	0	20250411	2026-06-25
VC00773	Terminal A	33	370	64	1	2025-05-28 07:39:00.000000	2025-05-28 07:39:00.000000	5.35	85.25	0	20250528	2026-06-25
VC00255	Terminal A	76	886	79	1	2025-07-07 11:25:00.000000	2025-07-07 11:25:00.000000	5.15	91.81	0	20250707	2026-06-25
VC00830	Terminal A	92	728	61	1	2025-08-15 17:49:00.000000	2025-08-15 17:49:00.000000	7.58	92.27	0	20250815	2026-06-25
VC00272	Terminal A	147	890	60	1	2025-12-04 21:11:00.000000	2025-12-04 21:11:00.000000	9.91	93.68	0	20251204	2026-06-25
VC00936	Terminal A	57	428	18	1	2025-03-13 16:00:00.000000	2025-03-13 16:00:00.000000	7.99	95.96	0	20250313	2026-06-25
VC00282	Terminal A	54	451	23	1	2025-02-01 03:02:00.000000	2025-02-01 03:02:00.000000	7.18	95.15	0	20250201	2026-06-25
VC00412	Terminal A	52	401	0	1	2026-05-18 01:50:00.000000	2026-05-18 01:50:00.000000	7.78	100	0	20260518	2026-06-25
VC00924	Terminal A	116	702	102	1	2026-04-04 02:02:00.000000	2026-04-04 02:02:00.000000	9.91	87.31	0	20260404	2026-06-25
VC00387	Terminal A	53	384	18	1	2026-02-22 04:29:00.000000	2026-02-22 04:29:00.000000	8.28	95.52	0	20260222	2026-06-25
VC00170	Terminal A	24	332	70	1	2025-02-21 15:22:00.000000	2025-02-21 15:22:00.000000	4.34	82.59	0	20250221	2026-06-25
VC00270	Terminal A	65	314	70	1	2026-05-17 21:23:00.000000	2026-05-17 21:23:00.000000	12.42	81.77	0	20260517	2026-06-25
VC00725	Terminal A	62	401	7	1	2025-11-14 19:12:00.000000	2025-11-14 19:12:00.000000	9.28	98.28	0	20251114	2026-06-25
VC00470	Terminal A	63	444	36	1	2026-11-02 08:48:00.000000	2026-11-02 08:48:00.000000	8.51	92.5	0	20261102	2026-06-25
VC00959	Terminal A	88	736	110	1	2025-04-02 13:14:00.000000	2025-04-02 13:14:00.000000	7.17	87	0	20250402	2026-06-25
VC00907	Terminal A	24	479	19	1	2025-02-21 18:49:00.000000	2025-02-21 18:49:00.000000	3.01	96.18	0	20250221	2026-06-25
VC00861	Terminal A	70	476	0	1	2025-07-09 16:30:00.000000	2025-07-09 16:30:00.000000	8.82	100	0	20250709	2026-06-25
VC00420	Terminal A	27	389	82	1	2026-11-05 16:10:00.000000	2026-11-05 16:10:00.000000	4.16	82.59	0	20261105	2026-06-25
VC00032	Terminal A	25	338	21	1	2025-07-28 03:32:00.000000	2025-07-28 03:32:00.000000	4.44	94.15	0	20250728	2026-06-25
VC00501	Terminal A	50	317	31	1	2026-10-10 08:37:00.000000	2026-10-10 08:37:00.000000	9.46	91.09	0	20261010	2026-06-25
VC00558	Terminal A	64	312	77	1	2026-03-30 10:32:00.000000	2026-03-30 10:32:00.000000	12.31	80.21	0	20260330	2026-06-25
VC00446	Terminal A	48	455	45	1	2025-03-22 03:31:00.000000	2025-03-22 03:31:00.000000	6.33	91	0	20250322	2026-06-25
VC00654	Terminal A	61	766	132	1	2026-08-23 08:35:00.000000	2026-08-23 08:35:00.000000	4.78	85.3	0	20260823	2026-06-25
VC00253	Terminal A	68	366	33	1	2026-01-28 18:10:00.000000	2026-01-28 18:10:00.000000	11.15	91.73	0	20260128	2026-06-25
VC00752	Terminal A	44	314	24	1	2026-02-15 01:17:00.000000	2026-02-15 01:17:00.000000	8.41	92.9	0	20260215	2026-06-25
VC00235	Terminal A	41	467	32	1	2026-01-30 01:07:00.000000	2026-01-30 01:07:00.000000	5.27	93.59	0	20260130	2026-06-25
VC00434	Terminal A	142	1279	107	2	2025-12-08 04:18:00.000000	2025-12-08 04:18:00.000000	6.66	92.28	0	20251208	2026-06-25
VC00538	Terminal A	126	758	43	1	2025-11-12 18:23:00.000000	2025-11-12 18:23:00.000000	9.97	94.63	0	20251112	2026-06-25
VC00310	Terminal A	144	1298	131	2	2026-01-11 04:56:00.000000	2026-01-11 04:56:00.000000	6.66	90.83	0	20260111	2026-06-25
VC00984	Terminal A	156	1111	195	2	2025-04-30 11:52:00.000000	2025-04-30 11:52:00.000000	8.42	85.07	0	20250430	2026-06-25
VC00901	Terminal A	152	1169	180	2	2025-04-12 02:51:00.000000	2025-04-12 02:51:00.000000	7.8	86.66	0	20250412	2026-06-25
VC00059	Terminal A	54	368	57	1	2025-08-03 12:32:00.000000	2025-08-03 12:32:00.000000	8.8	86.59	0	20250803	2026-06-25
VC00455	Terminal A	59	436	56	1	2026-08-20 15:39:00.000000	2026-08-20 15:39:00.000000	8.12	88.62	0	20260820	2026-06-25
VC00205	Terminal A	51	417	18	1	2025-02-14 06:48:00.000000	2025-02-14 06:48:00.000000	7.34	95.86	0	20250214	2026-06-25
VC00923	Terminal A	125	1289	30	2	2025-07-07 15:14:00.000000	2025-07-07 15:14:00.000000	5.82	97.73	0	20250707	2026-06-25
VC00220	Terminal A	41	410	86	1	2025-05-08 17:47:00.000000	2025-05-08 17:47:00.000000	6	82.66	0	20250508	2026-06-25
VC00517	Terminal A	143	651	74	1	2026-04-13 23:59:00.000000	2026-04-13 23:59:00.000000	13.18	89.79	0	20260413	2026-06-25
