TransactionID	GateID	GateType	Terminal	TruckID	CarrierName	VehicleType	ContainerID	Direction	EntryTime	ExitTime	EntryDateKey	EntryHour	EntryDayOfWeek	IsPeakHour	ProcessingMinutes	TransactionDurationMins	LoadDate
GT000023	G03	Truck Entry	Terminal B	T022	Prime Transport	40FT	C018022	Inbound	2026-03-30 10:27:00.000000	2026-03-30 10:39:00.000000	20260330	10	2	0	12	12	2026-06-25
GT000024	G04	Truck Exit	Terminal B	T023	Swift Movers	20FT	C019911	Outbound	2026-07-12 07:02:00.000000	2026-07-12 07:42:00.000000	20260712	7	1	1	40	40	2026-06-25
GT000026	G03	Truck Entry	Terminal B	T098	Prime Transport	40FT	C018195	Inbound	2025-05-26 09:09:00.000000	2025-05-26 09:59:00.000000	20250526	9	2	1	50	50	2026-06-25
GT000030	G03	Truck Entry	Terminal B	T084	Swift Movers	20FT	C000580	Outbound	2025-07-13 23:00:00.000000	2025-07-13 23:56:00.000000	20250713	23	1	0	56	56	2026-06-25
GT000032	G03	Truck Entry	Terminal B	T082	Express Freight	32FT	C010077	Inbound	2026-05-12 00:03:00.000000	2026-05-12 01:14:00.000000	20260512	0	3	0	71	71	2026-06-25
GT000034	G03	Truck Entry	Terminal B	T010	Prime Transport	20FT	C007181	Inbound	2025-03-12 17:15:00.000000	2025-03-12 17:50:00.000000	20250312	17	4	1	35	35	2026-06-25
GT000035	G04	Truck Exit	Terminal B	T050	Prime Transport	40FT	C006615	Inbound	2025-10-19 11:57:00.000000	2025-10-19 13:00:00.000000	20251019	11	1	0	63	63	2026-06-25
GT000038	G03	Truck Entry	Terminal B	T082	Express Freight	32FT	C006907	Inbound	2025-11-30 08:57:00.000000	2025-11-30 09:11:00.000000	20251130	8	1	1	14	14	2026-06-25
GT000039	G03	Truck Entry	Terminal B	T023	Swift Movers	20FT	C011313	Inbound	2026-10-21 07:50:00.000000	2026-10-21 08:03:00.000000	20261021	7	4	1	13	13	2026-06-25
GT000041	G03	Truck Entry	Terminal B	T087	Swift Movers	32FT	C005534	Inbound	2025-02-17 22:47:00.000000	2025-02-17 22:58:00.000000	20250217	22	2	0	11	11	2026-06-25
GT000042	G03	Truck Entry	Terminal B	T021	Alpha Logistics	20FT	C016577	Outbound	2026-10-27 18:58:00.000000	2026-10-27 19:20:00.000000	20261027	18	3	0	22	22	2026-06-25
GT000043	G04	Truck Exit	Terminal B	T067	City Cargo	40FT	C017424	Outbound	2026-03-16 15:56:00.000000	2026-03-16 17:16:00.000000	20260316	15	2	1	80	80	2026-06-25
GT000044	G04	Truck Exit	Terminal B	T059	Express Freight	20FT	C015869	Outbound	2025-02-05 13:34:00.000000	2025-02-05 13:44:00.000000	20250205	13	4	0	10	10	2026-06-25
GT000048	G03	Truck Entry	Terminal B	T054	Alpha Logistics	40FT	C002656	Outbound	2025-12-25 12:38:00.000000	2025-12-25 13:32:00.000000	20251225	12	5	0	54	54	2026-06-25
GT000050	G04	Truck Exit	Terminal B	T010	Prime Transport	20FT	C015577	Outbound	2026-08-23 03:58:00.000000	2026-08-23 04:57:00.000000	20260823	3	1	0	59	59	2026-06-25
GT000051	G03	Truck Entry	Terminal B	T066	Swift Movers	32FT	C015047	Outbound	2026-11-25 22:19:00.000000	2026-11-25 23:13:00.000000	20261125	22	4	0	54	54	2026-06-25
GT000052	G04	Truck Exit	Terminal B	T019	Prime Transport	40FT	C009345	Inbound	2026-05-05 00:18:00.000000	2026-05-05 00:43:00.000000	20260505	0	3	0	25	25	2026-06-25
GT000055	G03	Truck Entry	Terminal B	T005	Alpha Logistics	20FT	C007511	Inbound	2026-11-24 20:47:00.000000	2026-11-24 21:59:00.000000	20261124	20	3	0	72	72	2026-06-25
GT000056	G03	Truck Entry	Terminal B	T026	Prime Transport	20FT	C019134	Outbound	2025-11-01 17:05:00.000000	2025-11-01 17:39:00.000000	20251101	17	7	1	34	34	2026-06-25
GT000057	G04	Truck Exit	Terminal B	T038	Prime Transport	20FT	C006226	Outbound	2025-12-21 00:47:00.000000	2025-12-21 01:54:00.000000	20251221	0	1	0	67	67	2026-06-25
GT000059	G04	Truck Exit	Terminal B	T054	Alpha Logistics	40FT	C007429	Inbound	2026-03-03 00:37:00.000000	2026-03-03 01:57:00.000000	20260303	0	3	0	80	80	2026-06-25
GT000060	G03	Truck Entry	Terminal B	T003	City Cargo	20FT	C001530	Inbound	2025-11-11 03:53:00.000000	2025-11-11 04:35:00.000000	20251111	3	3	0	42	42	2026-06-25
GT000062	G04	Truck Exit	Terminal B	T036	City Cargo	32FT	C001104	Inbound	2025-05-01 10:37:00.000000	2025-05-01 11:16:00.000000	20250501	10	5	0	39	39	2026-06-25
GT000066	G04	Truck Exit	Terminal B	T038	Prime Transport	20FT	C011074	Outbound	2026-06-10 17:09:00.000000	2026-06-10 18:32:00.000000	20260610	17	4	1	83	83	2026-06-25
GT000070	G03	Truck Entry	Terminal B	T085	Alpha Logistics	40FT	C002659	Outbound	2025-11-04 01:53:00.000000	2025-11-04 02:57:00.000000	20251104	1	3	0	64	64	2026-06-25
GT000071	G04	Truck Exit	Terminal B	T065	Swift Movers	20FT	C011332	Inbound	2026-08-05 07:20:00.000000	2026-08-05 07:31:00.000000	20260805	7	4	1	11	11	2026-06-25
GT000075	G03	Truck Entry	Terminal B	T079	Express Freight	40FT	C015883	Outbound	2025-08-14 10:31:00.000000	2025-08-14 11:57:00.000000	20250814	10	5	0	86	86	2026-06-25
GT000078	G03	Truck Entry	Terminal B	T092	Alpha Logistics	20FT	C001290	Inbound	2025-10-01 18:15:00.000000	2025-10-01 18:50:00.000000	20251001	18	4	0	35	35	2026-06-25
GT000079	G04	Truck Exit	Terminal B	T062	Express Freight	40FT	C014478	Outbound	2026-04-05 07:16:00.000000	2026-04-05 07:45:00.000000	20260405	7	1	1	29	29	2026-06-25
GT000080	G03	Truck Entry	Terminal B	T050	Prime Transport	40FT	C019797	Outbound	2026-07-18 23:31:00.000000	2026-07-19 00:44:00.000000	20260718	23	7	0	73	73	2026-06-25
GT000081	G03	Truck Entry	Terminal B	T019	Prime Transport	40FT	C005222	Inbound	2025-05-01 18:49:00.000000	2025-05-01 19:41:00.000000	20250501	18	5	0	52	52	2026-06-25
GT000082	G03	Truck Entry	Terminal B	T005	Alpha Logistics	20FT	C017176	Inbound	2025-03-03 01:31:00.000000	2025-03-03 02:08:00.000000	20250303	1	2	0	37	37	2026-06-25
GT000083	G04	Truck Exit	Terminal B	T060	Express Freight	20FT	C005454	Outbound	2025-07-31 02:32:00.000000	2025-07-31 03:14:00.000000	20250731	2	5	0	42	42	2026-06-25
GT000084	G03	Truck Entry	Terminal B	T003	City Cargo	20FT	C002841	Outbound	2026-01-22 21:41:00.000000	2026-01-22 22:21:00.000000	20260122	21	5	0	40	40	2026-06-25
GT000085	G03	Truck Entry	Terminal B	T100	Alpha Logistics	40FT	C010578	Inbound	2025-01-10 00:45:00.000000	2025-01-10 02:08:00.000000	20250110	0	6	0	83	83	2026-06-25
GT000086	G03	Truck Entry	Terminal B	T082	Express Freight	32FT	C013792	Outbound	2025-01-02 08:29:00.000000	2025-01-02 08:39:00.000000	20250102	8	5	1	10	10	2026-06-25
GT000087	G04	Truck Exit	Terminal B	T064	Swift Movers	20FT	C002575	Outbound	2025-06-07 05:54:00.000000	2025-06-07 06:28:00.000000	20250607	5	7	0	34	34	2026-06-25
GT000088	G03	Truck Entry	Terminal B	T075	City Cargo	32FT	C004989	Outbound	2025-05-13 23:43:00.000000	2025-05-14 00:41:00.000000	20250513	23	3	0	58	58	2026-06-25
GT000090	G03	Truck Entry	Terminal B	T033	Alpha Logistics	20FT	C003599	Inbound	2025-09-13 00:24:00.000000	2025-09-13 01:52:00.000000	20250913	0	7	0	88	88	2026-06-25
GT000091	G03	Truck Entry	Terminal B	T083	Alpha Logistics	20FT	C010674	Inbound	2025-04-25 15:57:00.000000	2025-04-25 16:10:00.000000	20250425	15	6	1	13	13	2026-06-25
GT000094	G04	Truck Exit	Terminal B	T028	Swift Movers	32FT	C005877	Outbound	2026-03-23 18:16:00.000000	2026-03-23 19:08:00.000000	20260323	18	2	0	52	52	2026-06-25
GT000096	G03	Truck Entry	Terminal B	T060	Express Freight	20FT	C017115	Outbound	2025-03-15 03:33:00.000000	2025-03-15 05:02:00.000000	20250315	3	7	0	89	89	2026-06-25
GT000097	G03	Truck Entry	Terminal B	T059	Express Freight	20FT	C009215	Outbound	2026-11-08 08:41:00.000000	2026-11-08 09:07:00.000000	20261108	8	1	1	26	26	2026-06-25
GT000099	G03	Truck Entry	Terminal B	T073	Express Freight	20FT	C003764	Outbound	2026-04-23 14:37:00.000000	2026-04-23 15:25:00.000000	20260423	14	5	1	48	48	2026-06-25
GT000101	G04	Truck Exit	Terminal B	T068	Swift Movers	32FT	C017571	Inbound	2026-07-16 06:36:00.000000	2026-07-16 07:00:00.000000	20260716	6	5	1	24	24	2026-06-25
GT000103	G04	Truck Exit	Terminal B	T080	Swift Movers	40FT	C009151	Outbound	2025-12-29 21:51:00.000000	2025-12-29 22:23:00.000000	20251229	21	2	0	32	32	2026-06-25
GT000106	G04	Truck Exit	Terminal B	T077	Swift Movers	32FT	C010330	Inbound	2026-06-16 18:50:00.000000	2026-06-16 20:14:00.000000	20260616	18	3	0	84	84	2026-06-25
GT000107	G03	Truck Entry	Terminal B	T018	Prime Transport	32FT	C003941	Outbound	2026-07-02 06:49:00.000000	2026-07-02 07:36:00.000000	20260702	6	5	1	47	47	2026-06-25
GT000109	G04	Truck Exit	Terminal B	T071	Express Freight	40FT	C012872	Outbound	2026-07-16 20:21:00.000000	2026-07-16 20:43:00.000000	20260716	20	5	0	22	22	2026-06-25
GT000114	G03	Truck Entry	Terminal B	T018	Prime Transport	32FT	C007425	Outbound	2025-07-28 08:38:00.000000	2025-07-28 09:20:00.000000	20250728	8	2	1	42	42	2026-06-25
GT000116	G03	Truck Entry	Terminal B	T078	City Cargo	32FT	C019802	Outbound	2026-02-05 03:06:00.000000	2026-02-05 04:08:00.000000	20260205	3	5	0	62	62	2026-06-25
GT000119	G03	Truck Entry	Terminal B	T069	Swift Movers	20FT	C007280	Outbound	2025-06-10 19:08:00.000000	2025-06-10 19:34:00.000000	20250610	19	3	0	26	26	2026-06-25
GT000123	G04	Truck Exit	Terminal B	T073	Express Freight	20FT	C018548	Outbound	2025-09-21 23:08:00.000000	2025-09-21 23:44:00.000000	20250921	23	1	0	36	36	2026-06-25
GT000124	G03	Truck Entry	Terminal B	T033	Alpha Logistics	20FT	C012520	Inbound	2025-09-30 11:33:00.000000	2025-09-30 12:19:00.000000	20250930	11	3	0	46	46	2026-06-25
GT000125	G03	Truck Entry	Terminal B	T009	Swift Movers	40FT	C016519	Outbound	2025-07-27 22:50:00.000000	2025-07-27 23:27:00.000000	20250727	22	1	0	37	37	2026-06-25
GT000127	G04	Truck Exit	Terminal B	T033	Alpha Logistics	20FT	C011353	Outbound	2025-02-17 14:33:00.000000	2025-02-17 15:32:00.000000	20250217	14	2	1	59	59	2026-06-25
GT000130	G03	Truck Entry	Terminal B	T099	Alpha Logistics	20FT	C019022	Inbound	2025-12-31 13:31:00.000000	2025-12-31 14:19:00.000000	20251231	13	4	0	48	48	2026-06-25
GT000132	G04	Truck Exit	Terminal B	T076	Alpha Logistics	20FT	C005197	Inbound	2025-09-28 09:45:00.000000	2025-09-28 10:56:00.000000	20250928	9	1	1	71	71	2026-06-25
GT000135	G03	Truck Entry	Terminal B	T079	Express Freight	40FT	C006516	Outbound	2025-07-18 05:43:00.000000	2025-07-18 06:12:00.000000	20250718	5	6	0	29	29	2026-06-25
GT000136	G03	Truck Entry	Terminal B	T066	Swift Movers	32FT	C005468	Inbound	2026-06-02 18:47:00.000000	2026-06-02 19:35:00.000000	20260602	18	3	0	48	48	2026-06-25
GT000137	G04	Truck Exit	Terminal B	T095	Swift Movers	20FT	C010020	Outbound	2025-02-23 20:56:00.000000	2025-02-23 21:38:00.000000	20250223	20	1	0	42	42	2026-06-25
GT000139	G04	Truck Exit	Terminal B	T043	Prime Transport	20FT	C000019	Outbound	2026-10-13 06:41:00.000000	2026-10-13 07:42:00.000000	20261013	6	3	1	61	61	2026-06-25
GT000141	G04	Truck Exit	Terminal B	T015	City Cargo	20FT	C017131	Outbound	2026-05-04 02:11:00.000000	2026-05-04 03:33:00.000000	20260504	2	2	0	82	82	2026-06-25
GT000142	G03	Truck Entry	Terminal B	T009	Swift Movers	40FT	C005928	Inbound	2025-01-09 04:45:00.000000	2025-01-09 05:09:00.000000	20250109	4	5	0	24	24	2026-06-25
GT000143	G04	Truck Exit	Terminal B	T063	Express Freight	32FT	C001193	Outbound	2025-11-01 06:11:00.000000	2025-11-01 06:42:00.000000	20251101	6	7	1	31	31	2026-06-25
GT000145	G04	Truck Exit	Terminal B	T022	Prime Transport	40FT	C018597	Inbound	2026-06-04 12:24:00.000000	2026-06-04 13:11:00.000000	20260604	12	5	0	47	47	2026-06-25
GT000147	G03	Truck Entry	Terminal B	T087	Swift Movers	32FT	C014211	Inbound	2026-10-23 18:27:00.000000	2026-10-23 19:15:00.000000	20261023	18	6	0	48	48	2026-06-25
GT000150	G03	Truck Entry	Terminal B	T065	Swift Movers	20FT	C017784	Outbound	2026-02-23 10:02:00.000000	2026-02-23 11:28:00.000000	20260223	10	2	0	86	86	2026-06-25
GT000152	G04	Truck Exit	Terminal B	T028	Swift Movers	32FT	C006032	Inbound	2026-03-05 21:33:00.000000	2026-03-05 21:48:00.000000	20260305	21	5	0	15	15	2026-06-25
GT000156	G04	Truck Exit	Terminal B	T097	Prime Transport	40FT	C002688	Outbound	2025-08-10 15:24:00.000000	2025-08-10 16:51:00.000000	20250810	15	1	1	87	87	2026-06-25
GT000159	G04	Truck Exit	Terminal B	T027	Prime Transport	20FT	C001814	Outbound	2026-02-06 05:00:00.000000	2026-02-06 05:11:00.000000	20260206	5	6	0	11	11	2026-06-25
GT000160	G04	Truck Exit	Terminal B	T031	Alpha Logistics	20FT	C016378	Outbound	2025-09-23 07:23:00.000000	2025-09-23 07:41:00.000000	20250923	7	3	1	18	18	2026-06-25
GT000161	G03	Truck Entry	Terminal B	T077	Swift Movers	32FT	C015819	Inbound	2025-05-21 14:10:00.000000	2025-05-21 14:32:00.000000	20250521	14	4	1	22	22	2026-06-25
GT000163	G03	Truck Entry	Terminal B	T054	Alpha Logistics	40FT	C008441	Inbound	2025-01-02 13:00:00.000000	2025-01-02 13:25:00.000000	20250102	13	5	0	25	25	2026-06-25
GT000164	G03	Truck Entry	Terminal B	T100	Alpha Logistics	40FT	C017845	Inbound	2026-08-30 08:34:00.000000	2026-08-30 09:00:00.000000	20260830	8	1	1	26	26	2026-06-25
GT000167	G04	Truck Exit	Terminal B	T066	Swift Movers	32FT	C000865	Outbound	2026-08-25 17:01:00.000000	2026-08-25 17:43:00.000000	20260825	17	3	1	42	42	2026-06-25
GT000170	G03	Truck Entry	Terminal B	T029	City Cargo	20FT	C001415	Outbound	2025-05-06 02:49:00.000000	2025-05-06 03:46:00.000000	20250506	2	3	0	57	57	2026-06-25
GT000171	G04	Truck Exit	Terminal B	T098	Prime Transport	40FT	C002902	Inbound	2025-06-24 09:26:00.000000	2025-06-24 09:37:00.000000	20250624	9	3	1	11	11	2026-06-25
GT000173	G04	Truck Exit	Terminal B	T080	Swift Movers	40FT	C014129	Inbound	2026-05-07 17:10:00.000000	2026-05-07 18:24:00.000000	20260507	17	5	1	74	74	2026-06-25
GT000174	G04	Truck Exit	Terminal B	T003	City Cargo	20FT	C010443	Inbound	2025-08-12 09:44:00.000000	2025-08-12 10:23:00.000000	20250812	9	3	1	39	39	2026-06-25
GT000175	G04	Truck Exit	Terminal B	T028	Swift Movers	32FT	C004414	Outbound	2025-05-20 04:35:00.000000	2025-05-20 06:01:00.000000	20250520	4	3	0	86	86	2026-06-25
GT000182	G03	Truck Entry	Terminal B	T042	Express Freight	40FT	C004250	Inbound	2025-11-22 07:49:00.000000	2025-11-22 08:35:00.000000	20251122	7	7	1	46	46	2026-06-25
GT000183	G03	Truck Entry	Terminal B	T042	Express Freight	40FT	C008718	Inbound	2026-01-23 13:14:00.000000	2026-01-23 13:40:00.000000	20260123	13	6	0	26	26	2026-06-25
GT000184	G03	Truck Entry	Terminal B	T021	Alpha Logistics	20FT	C004424	Outbound	2026-10-01 21:27:00.000000	2026-10-01 21:41:00.000000	20261001	21	5	0	14	14	2026-06-25
GT000185	G03	Truck Entry	Terminal B	T078	City Cargo	32FT	C009648	Inbound	2025-12-02 19:54:00.000000	2025-12-02 20:04:00.000000	20251202	19	3	0	10	10	2026-06-25
GT000188	G04	Truck Exit	Terminal B	T046	Express Freight	40FT	C016028	Outbound	2025-12-25 16:06:00.000000	2025-12-25 17:32:00.000000	20251225	16	5	1	86	86	2026-06-25
GT000189	G03	Truck Entry	Terminal B	T076	Alpha Logistics	20FT	C019770	Inbound	2025-11-17 23:02:00.000000	2025-11-17 23:54:00.000000	20251117	23	2	0	52	52	2026-06-25
GT000190	G04	Truck Exit	Terminal B	T078	City Cargo	32FT	C010525	Outbound	2025-05-28 12:15:00.000000	2025-05-28 12:31:00.000000	20250528	12	4	0	16	16	2026-06-25
GT000191	G04	Truck Exit	Terminal B	T077	Swift Movers	32FT	C008717	Outbound	2025-07-26 15:22:00.000000	2025-07-26 16:12:00.000000	20250726	15	7	1	50	50	2026-06-25
GT000194	G03	Truck Entry	Terminal B	T093	Prime Transport	32FT	C001287	Outbound	2025-06-07 08:01:00.000000	2025-06-07 09:06:00.000000	20250607	8	7	1	65	65	2026-06-25
