MaintenanceID	EquipmentID	EquipmentType	Terminal	StartTime	EndTime	MaintenanceDateKey	MaintenanceType	FailureReason	FailureCategory	DowntimeHours	Cost	CostPerDowntimeHour	PrevMaintenanceEnd	DaysSincePrevMaintenance	LoadDate
M00309	E004	Forklift	Terminal A	2025-01-16 11:00:00.000000	2025-01-16 14:00:00.000000	20250116	Corrective	Hydraulic Fault	Other	3	26237	8745.67	2025-01-06 14:00:00.000000	9.9	2026-06-25
M00104	E004	Forklift	Terminal A	2025-01-28 06:00:00.000000	2025-01-28 17:00:00.000000	20250128	Corrective	Electrical Failure	Electrical	11	22442	2040.18	2025-01-16 14:00:00.000000	11.7	2026-06-25
M00356	E004	Forklift	Terminal A	2025-06-10 09:00:00.000000	2025-06-10 19:00:00.000000	20250610	Corrective	Electrical Failure	Electrical	10	41101	4110.1	2025-06-10 09:00:00.000000	0	2026-06-25
M00446	E004	Forklift	Terminal A	2025-09-12 07:00:00.000000	2025-09-12 15:00:00.000000	20250912	Corrective	Mechanical Wear	Mechanical	8	87362	10920.25	2025-07-25 14:00:00.000000	48.7	2026-06-25
M00226	E004	Forklift	Terminal A	2025-09-20 21:00:00.000000	2025-09-21 00:00:00.000000	20250920	Corrective	Routine	Routine	3	48508	16169.33	2025-09-12 15:00:00.000000	8.3	2026-06-25
M00210	E004	Forklift	Terminal A	2025-10-21 13:00:00.000000	2025-10-21 15:00:00.000000	20251021	Corrective	Electrical Failure	Electrical	2	92828	46414	2025-09-21 00:00:00.000000	30.5	2026-06-25
M00082	E004	Forklift	Terminal A	2026-01-01 04:00:00.000000	2026-01-01 09:00:00.000000	20260101	Corrective	Routine	Routine	5	58285	11657	2025-12-01 16:00:00.000000	30.5	2026-06-25
M00287	E004	Forklift	Terminal A	2026-01-21 09:00:00.000000	2026-01-21 19:00:00.000000	20260121	Corrective	Hydraulic Fault	Other	10	76742	7674.2	2026-01-01 09:00:00.000000	20	2026-06-25
M00291	E004	Forklift	Terminal A	2026-03-06 20:00:00.000000	2026-03-07 05:00:00.000000	20260306	Corrective	Routine	Routine	9	52072	5785.78	2026-01-21 19:00:00.000000	44	2026-06-25
M00132	E004	Forklift	Terminal A	2026-03-17 03:00:00.000000	2026-03-17 14:00:00.000000	20260317	Corrective	Routine	Routine	11	82137	7467	2026-03-07 05:00:00.000000	9.9	2026-06-25
M00203	E004	Forklift	Terminal A	2026-03-30 06:00:00.000000	2026-03-30 18:00:00.000000	20260330	Corrective	Routine	Routine	12	88667	7388.92	2026-03-17 14:00:00.000000	12.7	2026-06-25
M00330	E004	Forklift	Terminal A	2026-04-16 08:00:00.000000	2026-04-16 14:00:00.000000	20260416	Corrective	Electrical Failure	Electrical	6	35747	5957.83	2026-04-06 04:00:00.000000	10.2	2026-06-25
M00170	E006	Reach Stacker	Terminal A	2025-03-30 21:00:00.000000	2025-03-31 01:00:00.000000	20250330	Corrective	Mechanical Wear	Mechanical	4	10385	2596.25	2025-03-25 11:00:00.000000	5.4	2026-06-25
M00250	E006	Reach Stacker	Terminal A	2025-04-17 18:00:00.000000	2025-04-18 05:00:00.000000	20250417	Corrective	Routine	Routine	11	93186	8471.45	2025-04-09 08:00:00.000000	8.4	2026-06-25
M00452	E006	Reach Stacker	Terminal A	2025-05-09 12:00:00.000000	2025-05-10 00:00:00.000000	20250509	Corrective	Mechanical Wear	Mechanical	12	70216	5851.33	2025-05-08 02:00:00.000000	1.4	2026-06-25
M00355	E006	Reach Stacker	Terminal A	2025-06-15 06:00:00.000000	2025-06-15 12:00:00.000000	20250615	Corrective	Routine	Routine	6	16734	2789	2025-05-10 00:00:00.000000	36.3	2026-06-25
M00184	E006	Reach Stacker	Terminal A	2025-06-18 03:00:00.000000	2025-06-18 10:00:00.000000	20250618	Corrective	Electrical Failure	Electrical	7	43083	6154.71	2025-06-15 12:00:00.000000	2.6	2026-06-25
M00370	E006	Reach Stacker	Terminal A	2025-06-24 15:00:00.000000	2025-06-24 17:00:00.000000	20250624	Corrective	Electrical Failure	Electrical	2	88764	44382	2025-06-18 10:00:00.000000	6.2	2026-06-25
M00067	E006	Reach Stacker	Terminal A	2025-07-07 21:00:00.000000	2025-07-08 08:00:00.000000	20250707	Corrective	Routine	Routine	11	20507	1864.27	2025-06-24 17:00:00.000000	13.2	2026-06-25
M00128	E006	Reach Stacker	Terminal A	2025-08-10 14:00:00.000000	2025-08-10 18:00:00.000000	20250810	Corrective	Routine	Routine	4	99423	24855.75	2025-07-08 08:00:00.000000	33.3	2026-06-25
M00272	E006	Reach Stacker	Terminal A	2025-11-21 22:00:00.000000	2025-11-22 01:00:00.000000	20251121	Corrective	Hydraulic Fault	Other	3	55263	18421	2025-11-16 14:00:00.000000	5.3	2026-06-25
M00152	E006	Reach Stacker	Terminal A	2025-12-29 08:00:00.000000	2025-12-29 13:00:00.000000	20251229	Corrective	Electrical Failure	Electrical	5	85485	17097	2025-11-22 01:00:00.000000	37.3	2026-06-25
M00340	E006	Reach Stacker	Terminal A	2026-04-07 07:00:00.000000	2026-04-07 10:00:00.000000	20260407	Corrective	Routine	Routine	3	73793	24597.67	2026-03-07 19:00:00.000000	30.5	2026-06-25
M00259	E006	Reach Stacker	Terminal A	2026-05-25 10:00:00.000000	2026-05-25 15:00:00.000000	20260525	Corrective	Mechanical Wear	Mechanical	5	80220	16044	2026-04-13 19:00:00.000000	41.6	2026-06-25
M00296	E006	Reach Stacker	Terminal A	2026-08-17 08:00:00.000000	2026-08-17 17:00:00.000000	20260817	Corrective	Hydraulic Fault	Other	9	58387	6487.44	2026-08-14 07:00:00.000000	3	2026-06-25
M00303	E008	Forklift	Terminal A	2025-03-01 12:00:00.000000	2025-03-01 21:00:00.000000	20250301	Corrective	Routine	Routine	9	30973	3441.44	2025-02-25 16:00:00.000000	3.8	2026-06-25
M00476	E008	Forklift	Terminal A	2025-03-18 20:00:00.000000	2025-03-19 00:00:00.000000	20250318	Corrective	Routine	Routine	4	59782	14945.5	2025-03-16 08:00:00.000000	2.5	2026-06-25
M00151	E008	Forklift	Terminal A	2025-05-23 17:00:00.000000	2025-05-23 18:00:00.000000	20250523	Corrective	Mechanical Wear	Mechanical	1	71844	71844	2025-03-19 00:00:00.000000	65.7	2026-06-25
M00390	E008	Forklift	Terminal A	2025-12-14 07:00:00.000000	2025-12-14 12:00:00.000000	20251214	Corrective	Mechanical Wear	Mechanical	5	14434	2886.8	2025-10-22 07:00:00.000000	53	2026-06-25
M00242	E008	Forklift	Terminal A	2026-07-15 23:00:00.000000	2026-07-16 02:00:00.000000	20260715	Corrective	Electrical Failure	Electrical	3	60962	20320.67	2026-07-11 00:00:00.000000	5	2026-06-25
M00493	E008	Forklift	Terminal A	2026-07-17 13:00:00.000000	2026-07-17 23:00:00.000000	20260717	Corrective	Mechanical Wear	Mechanical	10	48678	4867.8	2026-07-16 02:00:00.000000	1.5	2026-06-25
M00039	E008	Forklift	Terminal A	2026-08-25 09:00:00.000000	2026-08-25 14:00:00.000000	20260825	Corrective	Electrical Failure	Electrical	5	12846	2569.2	2026-07-17 23:00:00.000000	38.4	2026-06-25
M00137	E009	Forklift	Terminal A	2025-02-03 04:00:00.000000	2025-02-03 15:00:00.000000	20250203	Corrective	Mechanical Wear	Mechanical	11	16594	1508.55	NULL	NULL	2026-06-25
M00180	E009	Forklift	Terminal A	2025-03-10 23:00:00.000000	2025-03-11 06:00:00.000000	20250310	Corrective	Hydraulic Fault	Other	7	75085	10726.43	2025-02-03 15:00:00.000000	35.3	2026-06-25
M00374	E009	Forklift	Terminal A	2025-05-09 01:00:00.000000	2025-05-09 11:00:00.000000	20250509	Corrective	Routine	Routine	10	90409	9040.9	2025-04-08 09:00:00.000000	30.7	2026-06-25
M00228	E009	Forklift	Terminal A	2025-06-11 16:00:00.000000	2025-06-11 17:00:00.000000	20250611	Corrective	Hydraulic Fault	Other	1	45752	45752	2025-05-09 11:00:00.000000	33.2	2026-06-25
M00439	E009	Forklift	Terminal A	2025-10-31 22:00:00.000000	2025-10-31 23:00:00.000000	20251031	Corrective	Hydraulic Fault	Other	1	48914	48914	2025-06-11 17:00:00.000000	142.2	2026-06-25
M00376	E009	Forklift	Terminal A	2025-11-15 12:00:00.000000	2025-11-15 20:00:00.000000	20251115	Corrective	Electrical Failure	Electrical	8	77124	9640.5	2025-10-31 23:00:00.000000	14.5	2026-06-25
M00221	E009	Forklift	Terminal A	2026-03-11 03:00:00.000000	2026-03-11 11:00:00.000000	20260311	Corrective	Electrical Failure	Electrical	8	68272	8534	2026-02-27 00:00:00.000000	12.1	2026-06-25
M00062	E009	Forklift	Terminal A	2026-05-06 23:00:00.000000	2026-05-07 09:00:00.000000	20260506	Corrective	Electrical Failure	Electrical	10	83844	8384.4	2026-04-13 07:00:00.000000	23.7	2026-06-25
M00088	E009	Forklift	Terminal A	2026-05-11 22:00:00.000000	2026-05-12 05:00:00.000000	20260511	Corrective	Routine	Routine	7	33766	4823.71	2026-05-07 09:00:00.000000	4.5	2026-06-25
M00367	E009	Forklift	Terminal A	2026-05-28 17:00:00.000000	2026-05-28 18:00:00.000000	20260528	Corrective	Routine	Routine	1	41612	41612	2026-05-12 05:00:00.000000	16.5	2026-06-25
M00086	E009	Forklift	Terminal A	2026-06-02 11:00:00.000000	2026-06-02 23:00:00.000000	20260602	Corrective	Routine	Routine	12	90157	7513.08	2026-05-28 18:00:00.000000	4.7	2026-06-25
M00199	E009	Forklift	Terminal A	2026-07-07 03:00:00.000000	2026-07-07 15:00:00.000000	20260707	Corrective	Mechanical Wear	Mechanical	12	12333	1027.75	2026-06-02 23:00:00.000000	34.2	2026-06-25
M00308	E011	Reach Stacker	Terminal A	2025-03-18 13:00:00.000000	2025-03-18 17:00:00.000000	20250318	Corrective	Mechanical Wear	Mechanical	4	65573	16393.25	2025-02-14 10:00:00.000000	32.1	2026-06-25
M00120	E011	Reach Stacker	Terminal A	2025-03-22 07:00:00.000000	2025-03-22 09:00:00.000000	20250322	Corrective	Hydraulic Fault	Other	2	58522	29261	2025-03-18 17:00:00.000000	3.6	2026-06-25
M00253	E011	Reach Stacker	Terminal A	2025-05-07 07:00:00.000000	2025-05-07 18:00:00.000000	20250507	Corrective	Electrical Failure	Electrical	11	91816	8346.91	2025-05-06 05:00:00.000000	1.1	2026-06-25
M00466	E011	Reach Stacker	Terminal A	2025-06-17 20:00:00.000000	2025-06-17 23:00:00.000000	20250617	Corrective	Hydraulic Fault	Other	3	74221	24740.33	2025-05-31 22:00:00.000000	16.9	2026-06-25
M00408	E011	Reach Stacker	Terminal A	2025-09-06 23:00:00.000000	2025-09-07 04:00:00.000000	20250906	Corrective	Electrical Failure	Electrical	5	70894	14178.8	2025-07-14 00:00:00.000000	55	2026-06-25
M00136	E011	Reach Stacker	Terminal A	2025-12-16 01:00:00.000000	2025-12-16 12:00:00.000000	20251216	Corrective	Routine	Routine	11	98189	8926.27	2025-11-13 08:00:00.000000	32.7	2026-06-25
M00322	E011	Reach Stacker	Terminal A	2026-03-05 12:00:00.000000	2026-03-05 21:00:00.000000	20260305	Corrective	Mechanical Wear	Mechanical	9	52919	5879.89	2025-12-16 12:00:00.000000	79	2026-06-25
M00179	E014	Terminal Tractor	Terminal A	2025-01-18 08:00:00.000000	2025-01-18 17:00:00.000000	20250118	Corrective	Routine	Routine	9	33652	3739.11	NULL	NULL	2026-06-25
M00131	E014	Terminal Tractor	Terminal A	2025-07-01 16:00:00.000000	2025-07-02 00:00:00.000000	20250701	Corrective	Mechanical Wear	Mechanical	8	39946	4993.25	2025-05-01 01:00:00.000000	61.6	2026-06-25
M00081	E014	Terminal Tractor	Terminal A	2025-07-19 11:00:00.000000	2025-07-19 16:00:00.000000	20250719	Corrective	Electrical Failure	Electrical	5	49040	9808	2025-07-02 00:00:00.000000	17.5	2026-06-25
M00189	E014	Terminal Tractor	Terminal A	2025-10-01 21:00:00.000000	2025-10-02 03:00:00.000000	20251001	Corrective	Mechanical Wear	Mechanical	6	72764	12127.33	2025-08-13 13:00:00.000000	49.3	2026-06-25
M00299	E014	Terminal Tractor	Terminal A	2025-11-18 23:00:00.000000	2025-11-19 03:00:00.000000	20251118	Corrective	Routine	Routine	4	99888	24972	2025-11-02 09:00:00.000000	16.6	2026-06-25
M00443	E014	Terminal Tractor	Terminal A	2026-03-29 00:00:00.000000	2026-03-29 06:00:00.000000	20260329	Corrective	Routine	Routine	6	46750	7791.67	2025-11-19 03:00:00.000000	129.9	2026-06-25
M00375	E014	Terminal Tractor	Terminal A	2026-05-25 17:00:00.000000	2026-05-25 20:00:00.000000	20260525	Corrective	Routine	Routine	3	77172	25724	2026-04-29 07:00:00.000000	26.4	2026-06-25
M00373	E014	Terminal Tractor	Terminal A	2026-07-06 23:00:00.000000	2026-07-07 03:00:00.000000	20260706	Corrective	Hydraulic Fault	Other	4	47752	11938	2026-05-26 07:00:00.000000	41.7	2026-06-25
M00418	E018	Reach Stacker	Terminal A	2025-09-06 09:00:00.000000	2025-09-06 10:00:00.000000	20250906	Corrective	Routine	Routine	1	53714	53714	2025-06-05 19:00:00.000000	92.6	2026-06-25
M00354	E018	Reach Stacker	Terminal A	2025-09-28 11:00:00.000000	2025-09-28 16:00:00.000000	20250928	Corrective	Hydraulic Fault	Other	5	77936	15587.2	2025-09-19 20:00:00.000000	8.6	2026-06-25
M00033	E018	Reach Stacker	Terminal A	2025-10-14 10:00:00.000000	2025-10-14 22:00:00.000000	20251014	Corrective	Electrical Failure	Electrical	12	46233	3852.75	2025-09-28 16:00:00.000000	15.8	2026-06-25
M00015	E018	Reach Stacker	Terminal A	2025-11-30 07:00:00.000000	2025-11-30 12:00:00.000000	20251130	Corrective	Mechanical Wear	Mechanical	5	81331	16266.2	2025-10-14 22:00:00.000000	46.4	2026-06-25
M00490	E018	Reach Stacker	Terminal A	2025-12-01 08:00:00.000000	2025-12-01 11:00:00.000000	20251201	Corrective	Routine	Routine	3	70215	23405	2025-11-30 12:00:00.000000	0.8	2026-06-25
M00245	E018	Reach Stacker	Terminal A	2026-05-01 08:00:00.000000	2026-05-01 10:00:00.000000	20260501	Corrective	Routine	Routine	2	41442	20721	2026-04-22 14:00:00.000000	8.8	2026-06-25
M00008	E018	Reach Stacker	Terminal A	2026-05-08 05:00:00.000000	2026-05-08 12:00:00.000000	20260508	Corrective	Hydraulic Fault	Other	7	34820	4974.29	2026-05-01 10:00:00.000000	6.8	2026-06-25
M00064	E018	Reach Stacker	Terminal A	2026-07-05 11:00:00.000000	2026-07-05 13:00:00.000000	20260705	Corrective	Routine	Routine	2	56835	28417.5	2026-05-08 12:00:00.000000	58	2026-06-25
M00071	E018	Reach Stacker	Terminal A	2026-08-24 22:00:00.000000	2026-08-25 08:00:00.000000	20260824	Corrective	Electrical Failure	Electrical	10	10749	1074.9	2026-07-24 15:00:00.000000	31.3	2026-06-25
M00218	E019	Forklift	Terminal A	2025-01-09 20:00:00.000000	2025-01-09 23:00:00.000000	20250109	Corrective	Electrical Failure	Electrical	3	66238	22079.33	NULL	NULL	2026-06-25
M00036	E019	Forklift	Terminal A	2025-05-13 17:00:00.000000	2025-05-13 18:00:00.000000	20250513	Corrective	Hydraulic Fault	Other	1	27038	27038	2025-02-15 02:00:00.000000	87.6	2026-06-25
M00135	E019	Forklift	Terminal A	2025-05-28 10:00:00.000000	2025-05-28 11:00:00.000000	20250528	Corrective	Hydraulic Fault	Other	1	33431	33431	2025-05-13 18:00:00.000000	14.7	2026-06-25
M00414	E019	Forklift	Terminal A	2026-02-13 21:00:00.000000	2026-02-14 07:00:00.000000	20260213	Corrective	Electrical Failure	Electrical	10	12412	1241.2	2025-10-14 21:00:00.000000	122	2026-06-25
M00206	E019	Forklift	Terminal A	2026-03-18 07:00:00.000000	2026-03-18 08:00:00.000000	20260318	Corrective	Electrical Failure	Electrical	1	78965	78965	2026-02-14 07:00:00.000000	32	2026-06-25
M00262	E019	Forklift	Terminal A	2026-07-11 00:00:00.000000	2026-07-11 02:00:00.000000	20260711	Corrective	Hydraulic Fault	Other	2	84268	42134	2026-06-09 16:00:00.000000	31.3	2026-06-25
M00223	E019	Forklift	Terminal A	2026-08-08 01:00:00.000000	2026-08-08 03:00:00.000000	20260808	Corrective	Electrical Failure	Electrical	2	90524	45262	2026-07-26 06:00:00.000000	12.8	2026-06-25
M00166	E020	RTG Crane	Terminal A	2025-03-16 23:00:00.000000	2025-03-17 01:00:00.000000	20250316	Corrective	Hydraulic Fault	Other	2	99108	49554	2025-02-22 03:00:00.000000	22.8	2026-06-25
M00162	E020	RTG Crane	Terminal A	2025-05-02 23:00:00.000000	2025-05-03 05:00:00.000000	20250502	Corrective	Routine	Routine	6	95241	15873.5	2025-03-17 01:00:00.000000	46.9	2026-06-25
M00436	E020	RTG Crane	Terminal A	2025-05-26 00:00:00.000000	2025-05-26 08:00:00.000000	20250526	Corrective	Mechanical Wear	Mechanical	8	83241	10405.13	2025-05-03 05:00:00.000000	22.8	2026-06-25
M00475	E020	RTG Crane	Terminal A	2025-09-21 09:00:00.000000	2025-09-21 21:00:00.000000	20250921	Corrective	Hydraulic Fault	Other	12	92209	7684.08	2025-07-15 04:00:00.000000	68.2	2026-06-25
M00148	E020	RTG Crane	Terminal A	2025-11-05 14:00:00.000000	2025-11-05 16:00:00.000000	20251105	Corrective	Hydraulic Fault	Other	2	47781	23890.5	2025-10-05 15:00:00.000000	31	2026-06-25
M00423	E020	RTG Crane	Terminal A	2025-12-18 02:00:00.000000	2025-12-18 11:00:00.000000	20251218	Corrective	Hydraulic Fault	Other	9	84823	9424.78	2025-11-05 16:00:00.000000	42.4	2026-06-25
M00298	E020	RTG Crane	Terminal A	2026-05-16 05:00:00.000000	2026-05-16 15:00:00.000000	20260516	Corrective	Routine	Routine	10	32625	3262.5	2026-04-12 00:00:00.000000	34.2	2026-06-25
M00438	E020	RTG Crane	Terminal A	2026-06-13 06:00:00.000000	2026-06-13 14:00:00.000000	20260613	Corrective	Mechanical Wear	Mechanical	8	62605	7825.63	2026-05-16 15:00:00.000000	27.6	2026-06-25
M00336	E020	RTG Crane	Terminal A	2026-08-01 09:00:00.000000	2026-08-01 12:00:00.000000	20260801	Corrective	Mechanical Wear	Mechanical	3	60790	20263.33	2026-06-13 14:00:00.000000	48.8	2026-06-25
M00492	E020	RTG Crane	Terminal A	2026-08-11 23:00:00.000000	2026-08-12 05:00:00.000000	20260811	Corrective	Electrical Failure	Electrical	6	94489	15748.17	2026-08-01 12:00:00.000000	10.5	2026-06-25
M00474	E020	RTG Crane	Terminal A	2026-08-24 00:00:00.000000	2026-08-24 09:00:00.000000	20260824	Corrective	Electrical Failure	Electrical	9	96878	10764.22	2026-08-12 05:00:00.000000	11.8	2026-06-25
M00397	E001	Forklift	Terminal A	2025-03-11 12:00:00.000000	2025-03-11 23:00:00.000000	20250311	Preventive	Electrical Failure	Electrical	11	37471	3406.45	2025-01-13 07:00:00.000000	57.2	2026-06-25
