CraneEventID	CraneID	CraneType	Terminal	CommissionDate	CraneAgeYearsAtEvent	VesselCallID	EventTime	EventDateKey	ShiftName	ActiveMinutes	DowntimeMinutes	MovesCompleted	MovesPerHour	UtilisationPct	DowntimeRatio	LoadDate
CE00190	QC08	Quay Crane	Terminal A	2024-03-05	1.6	VC00138	2025-10-21 20:42:00.000000	20251021	Evening	417	18	77	11.08	95.86	0.0414	2026-06-25
CE00193	QC08	Quay Crane	Terminal A	2024-03-05	1.2	VC00114	2025-05-06 05:18:00.000000	20250506	Morning	315	26	64	12.19	92.38	0.0762	2026-06-25
CE00203	QC03	Quay Crane	Terminal A	2025-02-13	1.1	VC00002	2026-03-29 03:44:00.000000	20260329	Evening	480	69	50	6.25	87.43	0.1257	2026-06-25
CE00209	QC08	Quay Crane	Terminal A	2024-03-05	2.6	VC00478	2026-10-11 09:30:00.000000	20261011	Morning	342	81	41	7.19	80.85	0.1915	2026-06-25
CE00211	QC03	Quay Crane	Terminal A	2025-02-13	0.6	VC00303	2025-09-25 23:18:00.000000	20250925	Evening	448	78	77	10.31	85.17	0.1483	2026-06-25
CE00214	QC03	Quay Crane	Terminal A	2025-02-13	0.5	VC00493	2025-08-06 02:03:00.000000	20250806	Morning	380	65	30	4.74	85.39	0.1461	2026-06-25
CE00216	QC08	Quay Crane	Terminal A	2024-03-05	2.1	VC00827	2026-04-03 16:26:00.000000	20260403	Evening	435	32	74	10.21	93.15	0.0685	2026-06-25
CE00220	QC08	Quay Crane	Terminal A	2024-03-05	1.1	VC00324	2025-04-28 03:01:00.000000	20250428	Night	474	56	31	3.92	89.43	0.1057	2026-06-25
CE00221	QC08	Quay Crane	Terminal A	2024-03-05	1.5	VC00721	2025-08-17 14:51:00.000000	20250817	Morning	305	58	64	12.59	84.02	0.1598	2026-06-25
CE00222	QC08	Quay Crane	Terminal A	2024-03-05	1.8	VC00434	2025-12-08 04:18:00.000000	20251208	Morning	476	40	46	5.8	92.25	0.0775	2026-06-25
CE00225	QC08	Quay Crane	Terminal A	2024-03-05	2.7	VC00528	2026-11-21 00:56:00.000000	20261121	Evening	452	38	79	10.49	92.24	0.0776	2026-06-25
CE00229	QC03	Quay Crane	Terminal A	2025-02-13	0.4	VC00178	2025-07-21 08:13:00.000000	20250721	Evening	408	67	36	5.29	85.89	0.1411	2026-06-25
CE00236	QC03	Quay Crane	Terminal A	2025-02-13	0.2	VC00296	2025-04-10 10:06:00.000000	20250410	Morning	315	39	51	9.71	88.98	0.1102	2026-06-25
CE00242	QC03	Quay Crane	Terminal A	2025-02-13	1.6	VC00057	2026-09-08 06:16:00.000000	20260908	Morning	339	77	31	5.49	81.49	0.1851	2026-06-25
CE00243	QC08	Quay Crane	Terminal A	2024-03-05	2	VC00139	2026-03-02 14:16:00.000000	20260302	Night	332	29	41	7.41	91.97	0.0803	2026-06-25
CE00252	QC08	Quay Crane	Terminal A	2024-03-05	1.9	VC00469	2026-02-11 03:31:00.000000	20260211	Night	408	50	74	10.88	89.08	0.1092	2026-06-25
CE00261	QC08	Quay Crane	Terminal A	2024-03-05	1	VC00631	2025-02-28 22:35:00.000000	20250228	Evening	326	20	64	11.78	94.22	0.0578	2026-06-25
CE00262	QC08	Quay Crane	Terminal A	2024-03-05	1.2	VC00773	2025-05-28 07:39:00.000000	20250528	Night	370	64	33	5.35	85.25	0.1475	2026-06-25
CE00267	QC08	Quay Crane	Terminal A	2024-03-05	1.9	VC00487	2026-01-12 03:56:00.000000	20260112	Evening	317	89	66	12.49	78.08	0.2192	2026-06-25
CE00268	QC08	Quay Crane	Terminal A	2024-03-05	1.9	VC00419	2026-02-03 05:05:00.000000	20260203	Evening	372	57	29	4.68	86.71	0.1329	2026-06-25
CE00270	QC08	Quay Crane	Terminal A	2024-03-05	1.4	VC00080	2025-07-23 01:18:00.000000	20250723	Night	349	63	45	7.74	84.71	0.1529	2026-06-25
CE00277	QC08	Quay Crane	Terminal A	2024-03-05	2.3	VC00231	2026-06-22 01:48:00.000000	20260622	Evening	456	13	78	10.26	97.23	0.0277	2026-06-25
CE00287	QC03	Quay Crane	Terminal A	2025-02-13	0.2	VC00964	2025-04-30 05:11:00.000000	20250430	Night	383	48	36	5.64	88.86	0.1114	2026-06-25
CE00292	QC03	Quay Crane	Terminal A	2025-02-13	0.1	VC00293	2025-03-20 20:01:00.000000	20250320	Night	408	0	77	11.32	100	0	2026-06-25
CE00295	QC08	Quay Crane	Terminal A	2024-03-05	1.1	VC00465	2025-04-12 10:25:00.000000	20250412	Morning	415	62	42	6.07	87	0.13	2026-06-25
CE00296	QC03	Quay Crane	Terminal A	2025-02-13	1.4	VC00148	2026-07-07 08:03:00.000000	20260707	Night	346	33	34	5.9	91.29	0.0871	2026-06-25
CE00300	QC08	Quay Crane	Terminal A	2024-03-05	2.1	VC00745	2026-04-27 03:11:00.000000	20260427	Evening	426	69	66	9.3	86.06	0.1394	2026-06-25
CE00301	QC08	Quay Crane	Terminal A	2024-03-05	2.5	VC00605	2026-09-22 19:07:00.000000	20260922	Morning	310	43	71	13.74	87.82	0.1218	2026-06-25
CE00305	QC08	Quay Crane	Terminal A	2024-03-05	2.1	VC00201	2026-04-26 03:18:00.000000	20260426	Night	426	47	20	2.82	90.06	0.0994	2026-06-25
CE00308	QC08	Quay Crane	Terminal A	2024-03-05	1.7	VC00045	2025-11-25 06:33:00.000000	20251125	Night	314	40	34	6.5	88.7	0.113	2026-06-25
CE00312	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00146	2026-06-04 04:27:00.000000	20260604	Night	338	47	24	4.26	87.79	0.1221	2026-06-25
CE00313	QC08	Quay Crane	Terminal A	2024-03-05	1	VC00143	2025-03-04 02:22:00.000000	20250304	Night	325	25	69	12.74	92.86	0.0714	2026-06-25
CE00315	QC08	Quay Crane	Terminal A	2024-03-05	1.6	VC00868	2025-10-16 10:58:00.000000	20251016	Evening	371	71	41	6.63	83.94	0.1606	2026-06-25
CE00317	QC03	Quay Crane	Terminal A	2025-02-13	0.2	VC00406	2025-04-28 21:12:00.000000	20250428	Night	439	41	78	10.66	91.46	0.0854	2026-06-25
CE00319	QC03	Quay Crane	Terminal A	2025-02-13	1	VC00471	2026-02-07 07:35:00.000000	20260207	Evening	431	54	49	6.82	88.87	0.1113	2026-06-25
CE00322	QC08	Quay Crane	Terminal A	2024-03-05	2.3	VC00400	2026-06-13 07:05:00.000000	20260613	Morning	388	3	46	7.11	99.23	0.0077	2026-06-25
CE00326	QC03	Quay Crane	Terminal A	2025-02-13	1.3	VC00589	2026-06-05 17:28:00.000000	20260605	Night	448	34	78	10.45	92.95	0.0705	2026-06-25
CE00327	QC03	Quay Crane	Terminal A	2025-02-13	1	VC00361	2026-02-21 23:29:00.000000	20260221	Evening	375	21	43	6.88	94.7	0.053	2026-06-25
CE00331	QC03	Quay Crane	Terminal A	2025-02-13	1.2	VC00234	2026-05-15 15:53:00.000000	20260515	Morning	348	9	79	13.62	97.48	0.0252	2026-06-25
CE00340	QC08	Quay Crane	Terminal A	2024-03-05	1.3	VC00861	2025-07-09 16:30:00.000000	20250709	Evening	476	0	70	8.82	100	0	2026-06-25
CE00341	QC08	Quay Crane	Terminal A	2024-03-05	2.2	VC00847	2026-05-01 16:09:00.000000	20260501	Night	327	54	32	5.87	85.83	0.1417	2026-06-25
CE00355	QC08	Quay Crane	Terminal A	2024-03-05	1.2	VC00266	2025-05-11 07:04:00.000000	20250511	Evening	468	63	77	9.87	88.14	0.1186	2026-06-25
CE00356	QC03	Quay Crane	Terminal A	2025-02-13	0.8	VC00099	2025-12-09 05:40:00.000000	20251209	Night	446	8	48	6.46	98.24	0.0176	2026-06-25
CE00357	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00929	2026-07-17 15:32:00.000000	20260717	Evening	373	25	53	8.53	93.72	0.0628	2026-06-25
CE00359	QC03	Quay Crane	Terminal A	2025-02-13	0.6	VC00797	2025-09-17 07:59:00.000000	20250917	Morning	470	18	20	2.55	96.31	0.0369	2026-06-25
CE00360	QC08	Quay Crane	Terminal A	2024-03-05	0.9	VC00245	2025-02-13 03:26:00.000000	20250213	Night	381	73	70	11.02	83.92	0.1608	2026-06-25
CE00374	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00415	2026-07-27 15:24:00.000000	20260727	Night	303	35	32	6.34	89.64	0.1036	2026-06-25
CE00385	QC08	Quay Crane	Terminal A	2024-03-05	2.7	VC00375	2026-12-04 09:18:00.000000	20261204	Evening	436	17	34	4.68	96.25	0.0375	2026-06-25
CE00387	QC08	Quay Crane	Terminal A	2024-03-05	2.4	VC00739	2026-07-23 00:38:00.000000	20260723	Evening	455	55	73	9.63	89.22	0.1078	2026-06-25
CE00395	QC03	Quay Crane	Terminal A	2025-02-13	0.2	VC00206	2025-04-16 00:40:00.000000	20250416	Morning	302	2	74	14.7	99.34	0.0066	2026-06-25
CE00408	QC03	Quay Crane	Terminal A	2025-02-13	1.1	VC00155	2026-03-18 09:11:00.000000	20260318	Evening	449	41	63	8.42	91.63	0.0837	2026-06-25
CE00409	QC03	Quay Crane	Terminal A	2025-02-13	0	VC00831	2025-02-13 06:49:00.000000	20250213	Morning	442	79	57	7.74	84.84	0.1516	2026-06-25
