arrival_date	commodity	commodity_code	district	grade	market	max_price	min_price	modal_price	state	variety	silver_load_timestamp
2020-03-11	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2800	800	1900	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-13	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2800	800	1900	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-14	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2800	800	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-16	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1000	1850	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-20	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	800	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-03-21	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	2000	2600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1200	1700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-10	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-11	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-12	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1000	1600	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-13	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1000	1850	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-19	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2000	1500	1850	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-20	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1000	1850	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-23	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1200	1900	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-24	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2200	1500	1950	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-25	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1200	2200	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-26	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1200	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-11-27	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2200	1500	2000	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-14	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1200	2500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-15	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-16	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1500	2250	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-17	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1500	2100	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-18	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2300	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-19	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2500	1800	2250	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-21	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2350	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-22	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3200	2000	2700	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-28	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2500	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-29	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2300	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-30	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2800	1500	2200	Gujarat	Other	2026-06-26 01:32:14.530586
2020-12-31	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	2800	1500	2200	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-04	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2350	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-05	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2300	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-06	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2350	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-07	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1200	2450	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-08	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3200	1500	2650	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1500	3100	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-11	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2850	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-12	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2850	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-13	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-16	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	2800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-18	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-19	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	2800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-20	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-21	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	2850	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-22	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	1800	2800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-28	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	2000	2650	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-29	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-01-30	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-03	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2850	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-04	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	1500	2500	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-05	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-06	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3800	2500	3200	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-08	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3800	2500	3350	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-10	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-11	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	2900	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-12	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3000	2000	2750	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-13	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2500	3100	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-15	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2000	3000	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-16	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2500	3250	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-17	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2500	3250	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-18	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	2500	3350	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-19	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3800	2500	3300	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-22	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3000	3700	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-23	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3000	3600	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-24	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3000	3650	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-25	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3800	3000	3500	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-26	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	3500	2500	3250	Gujarat	Other	2026-06-26 01:32:14.530586
2021-02-27	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3000	3650	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-02	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3500	3850	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-03	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3000	3600	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-05	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3200	3700	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-06	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3500	3800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-08	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3500	3800	Gujarat	Other	2026-06-26 01:32:14.530586
2021-03-09	Amla(Nelli Kai)	355	Ahmedabad	FAQ	Ahmedabad	4000	3500	3850	Gujarat	Other	2026-06-26 01:32:14.530586  
