MaintenanceID,EquipmentID,StartTime,EndTime,MaintenanceType,FailureReason,DowntimeHours,Cost
M00105,E014,2025-11-02 04:00:00,2025-11-02 09:00:00,Preventive,Hydraulic Fault,5.0,91207
M00106,QC07,2025-10-05 18:00:00,2025-10-05 21:00:00,Preventive,Electrical Failure,3.0,13926
M00107,QC02,2026-03-15 10:00:00,2026-03-15 13:00:00,Preventive,Hydraulic Fault,3.0,95395
M00108,E001,2026-07-07 09:00:00,2026-07-07 14:00:00,Preventive,Electrical Failure,5.0,15421
M00109,E017,2025-01-30 04:00:00,2025-01-30 14:00:00,Corrective,Electrical Failure,10.0,25298
M00110,QC02,2025-08-29 12:00:00,2025-08-29 14:00:00,Preventive,Mechanical Wear,2.0,52294
M00111,E002,2025-02-25 11:00:00,2025-02-25 19:00:00,Preventive,Hydraulic Fault,8.0,60582
M00112,E012,2025-08-25 14:00:00,2025-08-25 22:00:00,Corrective,Mechanical Wear,8.0,25892
M00113,E008,2026-06-16 21:00:00,2026-06-17 07:00:00,Preventive,Routine,10.0,39669
M00114,QC02,2025-02-14 14:00:00,2025-02-14 16:00:00,Corrective,Mechanical Wear,2.0,26305
M00115,E003,2026-04-27 11:00:00,2026-04-27 21:00:00,Corrective,Routine,10.0,88682
M00116,E019,2025-07-24 06:00:00,2025-07-24 15:00:00,Preventive,Hydraulic Fault,9.0,33133
M00117,E011,2025-10-11 01:00:00,2025-10-11 13:00:00,Preventive,Hydraulic Fault,12.0,76251
M00118,QC07,2025-06-30 06:00:00,2025-06-30 14:00:00,Corrective,Hydraulic Fault,8.0,88702
M00119,E005,2026-06-01 07:00:00,2026-06-01 16:00:00,Corrective,Routine,9.0,38394
M00120,E011,2025-03-22 07:00:00,2025-03-22 09:00:00,Corrective,Hydraulic Fault,2.0,58522
M00121,E003,2026-01-16 11:00:00,2026-01-16 16:00:00,Corrective,Mechanical Wear,5.0,28895
M00122,E005,2025-04-14 09:00:00,2025-04-14 10:00:00,Preventive,Mechanical Wear,1.0,53260
M00123,QC03,2025-04-18 05:00:00,2025-04-18 11:00:00,Corrective,Mechanical Wear,6.0,65527
M00124,QC01,2025-07-13 08:00:00,2025-07-13 15:00:00,Corrective,Mechanical Wear,7.0,51745
M00125,E002,2026-01-13 16:00:00,2026-01-14 02:00:00,Corrective,Routine,10.0,81802
M00126,E018,2025-04-05 21:00:00,2025-04-06 04:00:00,Preventive,Routine,7.0,78527
M00127,E010,2026-05-20 21:00:00,2026-05-21 02:00:00,Preventive,Electrical Failure,5.0,53219
M00128,E006,2025-08-10 14:00:00,2025-08-10 18:00:00,Corrective,Routine,4.0,99423
M00129,QC08,2026-03-23 07:00:00,2026-03-23 13:00:00,Preventive,Routine,6.0,62776
M00130,E019,2025-02-15 01:00:00,2025-02-15 02:00:00,Preventive,Hydraulic Fault,1.0,21496
M00131,E014,2025-07-01 16:00:00,2025-07-02 00:00:00,Corrective,Mechanical Wear,8.0,39946
M00132,E004,2026-03-17 03:00:00,2026-03-17 14:00:00,Corrective,Routine,11.0,82137
M00133,QC07,2025-09-17 02:00:00,2025-09-17 13:00:00,Corrective,Hydraulic Fault,11.0,43617
M00134,E012,2026-05-10 01:00:00,2026-05-10 10:00:00,Preventive,Mechanical Wear,9.0,50183
M00135,E019,2025-05-28 10:00:00,2025-05-28 11:00:00,Corrective,Hydraulic Fault,1.0,33431
M00136,E011,2025-12-16 01:00:00,2025-12-16 12:00:00,Corrective,Routine,11.0,98189
M00137,E009,2025-02-03 04:00:00,2025-02-03 15:00:00,Corrective,Mechanical Wear,11.0,16594
M00138,QC01,2025-07-05 03:00:00,2025-07-05 05:00:00,Corrective,Electrical Failure,2.0,12377
M00139,E009,2025-04-08 06:00:00,2025-04-08 09:00:00,Preventive,Electrical Failure,3.0,20983
M00140,QC08,2025-06-02 17:00:00,2025-06-02 21:00:00,Preventive,Mechanical Wear,4.0,71234
M00141,E015,2025-07-21 10:00:00,2025-07-21 17:00:00,Corrective,Routine,7.0,44968
M00142,E013,2025-01-05 15:00:00,2025-01-05 19:00:00,Preventive,Mechanical Wear,4.0,51913
M00143,E016,2025-04-28 19:00:00,2025-04-28 20:00:00,Preventive,Routine,1.0,24843
M00144,E016,2026-01-30 06:00:00,2026-01-30 13:00:00,Preventive,Mechanical Wear,7.0,26016
M00145,QC01,2026-03-13 05:00:00,2026-03-13 17:00:00,Preventive,Routine,12.0,52403
M00146,QC01,2025-06-04 04:00:00,2025-06-04 06:00:00,Preventive,Electrical Failure,2.0,44051
M00147,E008,2026-02-18 07:00:00,2026-02-18 13:00:00,Preventive,Mechanical Wear,6.0,26469
M00148,E020,2025-11-05 14:00:00,2025-11-05 16:00:00,Corrective,Hydraulic Fault,2.0,47781
M00149,E007,2025-08-11 01:00:00,2025-08-11 05:00:00,Corrective,Hydraulic Fault,4.0,67886
M00150,E011,2025-02-14 08:00:00,2025-02-14 10:00:00,Preventive,Electrical Failure,2.0,20891
M00151,E008,2025-05-23 17:00:00,2025-05-23 18:00:00,Corrective,Mechanical Wear,1.0,71844
M00152,E006,2025-12-29 08:00:00,2025-12-29 13:00:00,Corrective,Electrical Failure,5.0,85485
M00153,E016,2026-07-18 07:00:00,2026-07-18 09:00:00,Preventive,Electrical Failure,2.0,36796
M00154,QC06,2025-02-24 04:00:00,2025-02-24 11:00:00,Preventive,Mechanical Wear,7.0,18095
M00155,E001,2026-08-25 21:00:00,2026-08-25 23:00:00,Corrective,Mechanical Wear,2.0,35598
M00156,QC01,2026-07-27 01:00:00,2026-07-27 03:00:00,Preventive,Routine,2.0,73481
M00157,E005,2025-11-01 08:00:00,2025-11-01 14:00:00,Preventive,Electrical Failure,6.0,75730
M00158,QC04,2026-01-13 23:00:00,2026-01-14 05:00:00,Corrective,Mechanical Wear,6.0,78790
M00159,E010,2025-03-05 18:00:00,2025-03-06 03:00:00,Preventive,Mechanical Wear,9.0,30994
M00160,E010,2026-05-09 23:00:00,2026-05-10 11:00:00,Preventive,Electrical Failure,12.0,95126
M00161,QC04,2025-10-18 03:00:00,2025-10-18 13:00:00,Preventive,Mechanical Wear,10.0,44334
M00162,E020,2025-05-02 23:00:00,2025-05-03 05:00:00,Corrective,Routine,6.0,95241
M00163,E017,2025-02-11 08:00:00,2025-02-11 18:00:00,Corrective,Routine,10.0,44813
M00164,E012,2026-02-20 10:00:00,2026-02-20 18:00:00,Corrective,Hydraulic Fault,8.0,92264
M00165,E003,2025-05-10 12:00:00,2025-05-10 22:00:00,Corrective,Hydraulic Fault,10.0,55293
M00166,E020,2025-03-16 23:00:00,2025-03-17 01:00:00,Corrective,Hydraulic Fault,2.0,99108
M00167,QC07,2026-07-10 01:00:00,2026-07-10 10:00:00,Corrective,Mechanical Wear,9.0,93109
M00168,E010,2025-03-06 16:00:00,2025-03-06 18:00:00,Corrective,Electrical Failure,2.0,45689
M00169,E005,2025-01-29 01:00:00,2025-01-29 10:00:00,Preventive,Electrical Failure,9.0,25937
M00170,E006,2025-03-30 21:00:00,2025-03-31 01:00:00,Corrective,Mechanical Wear,4.0,10385
M00171,E010,2025-10-07 09:00:00,2025-10-07 16:00:00,Preventive,Electrical Failure,7.0,10786
M00172,QC06,2025-02-23 23:00:00,2025-02-24 02:00:00,Corrective,Hydraulic Fault,3.0,40234
M00173,E020,2026-04-11 15:00:00,2026-04-12 00:00:00,Preventive,Mechanical Wear,9.0,63425
M00174,E005,2025-07-06 09:00:00,2025-07-06 18:00:00,Corrective,Electrical Failure,9.0,74882
M00175,E002,2026-05-17 23:00:00,2026-05-18 01:00:00,Preventive,Hydraulic Fault,2.0,65943
M00176,QC08,2026-01-18 12:00:00,2026-01-18 22:00:00,Preventive,Routine,10.0,99389
M00177,QC06,2026-08-07 21:00:00,2026-08-07 22:00:00,Corrective,Electrical Failure,1.0,81866
M00178,E009,2026-04-13 01:00:00,2026-04-13 07:00:00,Preventive,Electrical Failure,6.0,56681
M00179,E014,2025-01-18 08:00:00,2025-01-18 17:00:00,Corrective,Routine,9.0,33652
M00180,E009,2025-03-10 23:00:00,2025-03-11 06:00:00,Corrective,Hydraulic Fault,7.0,75085
M00181,E002,2025-11-28 13:00:00,2025-11-28 20:00:00,Corrective,Mechanical Wear,7.0,52400
M00182,QC04,2025-08-02 22:00:00,2025-08-03 01:00:00,Preventive,Mechanical Wear,3.0,48085
M00183,E013,2025-07-26 05:00:00,2025-07-26 06:00:00,Preventive,Electrical Failure,1.0,88901
M00184,E006,2025-06-18 03:00:00,2025-06-18 10:00:00,Corrective,Electrical Failure,7.0,43083
M00185,E019,2026-03-30 11:00:00,2026-03-30 17:00:00,Preventive,Mechanical Wear,6.0,98702
M00186,E008,2025-06-08 01:00:00,2025-06-08 12:00:00,Preventive,Electrical Failure,11.0,17393
M00187,E004,2025-07-25 07:00:00,2025-07-25 14:00:00,Preventive,Electrical Failure,7.0,36379
M00188,E010,2026-07-29 07:00:00,2026-07-29 19:00:00,Preventive,Electrical Failure,12.0,95690
M00189,E014,2025-10-01 21:00:00,2025-10-02 03:00:00,Corrective,Mechanical Wear,6.0,72764
M00190,E004,2025-01-06 03:00:00,2025-01-06 14:00:00,Preventive,Hydraulic Fault,11.0,47249
M00191,QC04,2025-09-15 00:00:00,2025-09-15 08:00:00,Preventive,Mechanical Wear,8.0,93473
M00192,QC02,2025-06-10 18:00:00,2025-06-11 04:00:00,Corrective,Routine,10.0,68418
M00193,QC03,2025-06-28 23:00:00,2025-06-29 07:00:00,Corrective,Mechanical Wear,8.0,97437
M00194,QC06,2025-11-16 11:00:00,2025-11-16 16:00:00,Preventive,Mechanical Wear,5.0,27731
M00195,QC06,2025-06-25 00:00:00,2025-06-25 05:00:00,Corrective,Hydraulic Fault,5.0,62454
M00196,QC04,2025-04-30 07:00:00,2025-04-30 14:00:00,Preventive,Routine,7.0,85716
M00197,E005,2025-08-30 21:00:00,2025-08-31 00:00:00,Preventive,Electrical Failure,3.0,24158
M00198,E015,2025-10-22 07:00:00,2025-10-22 13:00:00,Corrective,Mechanical Wear,6.0,32102
M00199,E009,2026-07-07 03:00:00,2026-07-07 15:00:00,Corrective,Mechanical Wear,12.0,12333
M00200,E001,2026-01-20 14:00:00,2026-01-21 02:00:00,Preventive,Hydraulic Fault,12.0,32576
M00201,E015,2026-09-10 01:00:00,2026-09-10 02:00:00,Corrective,Mechanical Wear,1.0,22795
M00202,E007,2026-04-24 10:00:00,2026-04-24 22:00:00,Preventive,Hydraulic Fault,12.0,72076
M00203,E004,2026-03-30 06:00:00,2026-03-30 18:00:00,Corrective,Routine,12.0,88667
M00204,E010,2025-11-08 05:00:00,2025-11-08 16:00:00,Corrective,Hydraulic Fault,11.0,54076
M00205,E020,2025-07-14 20:00:00,2025-07-15 04:00:00,Preventive,Electrical Failure,8.0,77319
M00206,E019,2026-03-18 07:00:00,2026-03-18 08:00:00,Corrective,Electrical Failure,1.0,78965
M00207,QC01,2026-07-27 00:00:00,2026-07-27 03:00:00,Preventive,Routine,3.0,46110
M00208,E016,2026-02-20 13:00:00,2026-02-20 22:00:00,Preventive,Hydraulic Fault,9.0,58852
M00209,E020,2025-07-01 10:00:00,2025-07-01 11:00:00,Preventive,Mechanical Wear,1.0,50999
M00210,E004,2025-10-21 13:00:00,2025-10-21 15:00:00,Corrective,Electrical Failure,2.0,92828
M00211,QC06,2026-06-11 11:00:00,2026-06-11 18:00:00,Corrective,Mechanical Wear,7.0,53537
M00212,E017,2026-04-16 01:00:00,2026-04-16 03:00:00,Corrective,Routine,2.0,69579
M00213,QC06,2026-03-12 09:00:00,2026-03-12 11:00:00,Corrective,Mechanical Wear,2.0,93558
M00214,E018,2025-12-17 18:00:00,2025-12-18 04:00:00,Preventive,Electrical Failure,10.0,34393
M00215,E004,2025-04-24 16:00:00,2025-04-25 00:00:00,Preventive,Hydraulic Fault,8.0,97345
M00216,E015,2025-05-09 19:00:00,2025-05-10 03:00:00,Preventive,Mechanical Wear,8.0,44606
M00217,E005,2025-01-23 05:00:00,2025-01-23 06:00:00,Corrective,Routine,1.0,88483
M00218,E019,2025-01-09 20:00:00,2025-01-09 23:00:00,Corrective,Electrical Failure,3.0,66238
M00219,E010,2025-06-22 19:00:00,2025-06-22 22:00:00,Preventive,Mechanical Wear,3.0,12519
M00220,E014,2026-05-26 03:00:00,2026-05-26 07:00:00,Preventive,Hydraulic Fault,4.0,93540
M00221,E009,2026-03-11 03:00:00,2026-03-11 11:00:00,Corrective,Electrical Failure,8.0,68272
M00222,E015,2025-08-24 12:00:00,2025-08-24 16:00:00,Corrective,Electrical Failure,4.0,93884
M00223,E019,2026-08-08 01:00:00,2026-08-08 03:00:00,Corrective,Electrical Failure,2.0,90524
M00224,QC08,2025-09-30 01:00:00,2025-09-30 05:00:00,Corrective,Electrical Failure,4.0,27694
M00225,QC05,2025-01-14 00:00:00,2025-01-14 04:00:00,Preventive,Hydraulic Fault,4.0,29647
M00226,E004,2025-09-20 21:00:00,2025-09-21 00:00:00,Corrective,Routine,3.0,48508
M00227,E005,2026-05-24 03:00:00,2026-05-24 15:00:00,Corrective,Hydraulic Fault,12.0,97108
M00228,E009,2025-06-11 16:00:00,2025-06-11 17:00:00,Corrective,Hydraulic Fault,1.0,45752
M00229,QC03,2026-05-04 01:00:00,2026-05-04 13:00:00,Preventive,Hydraulic Fault,12.0,32780
M00230,E018,2025-09-19 13:00:00,2025-09-19 20:00:00,Preventive,Mechanical Wear,7.0,85867
M00231,QC03,2025-09-20 14:00:00,2025-09-21 02:00:00,Corrective,Hydraulic Fault,12.0,67616
M00232,QC06,2026-06-20 06:00:00,2026-06-20 18:00:00,Preventive,Routine,12.0,10404
M00233,QC04,2025-03-12 20:00:00,2025-03-13 03:00:00,Preventive,Mechanical Wear,7.0,66820
M00234,E015,2025-03-27 11:00:00,2025-03-27 22:00:00,Preventive,Hydraulic Fault,11.0,93656
M00235,E015,2025-03-21 09:00:00,2025-03-21 15:00:00,Preventive,Routine,6.0,76413
M00236,E004,2025-05-28 03:00:00,2025-05-28 07:00:00,Preventive,Electrical Failure,4.0,35941
M00237,E006,2025-04-08 20:00:00,2025-04-09 08:00:00,Preventive,Hydraulic Fault,12.0,39783
M00238,E004,2025-11-29 09:00:00,2025-11-29 18:00:00,Preventive,Routine,9.0,14366
M00239,QC02,2025-12-28 14:00:00,2025-12-28 16:00:00,Corrective,Electrical Failure,2.0,12717
M00240,E001,2025-06-08 10:00:00,2025-06-08 16:00:00,Preventive,Routine,6.0,81232
M00241,QC05,2026-04-08 21:00:00,2026-04-09 03:00:00,Corrective,Routine,6.0,88974
M00242,E008,2026-07-15 23:00:00,2026-07-16 02:00:00,Corrective,Electrical Failure,3.0,60962
M00243,E003,2026-04-17 14:00:00,2026-04-17 23:00:00,Corrective,Routine,9.0,40573
M00244,E002,2025-07-18 21:00:00,2025-07-19 00:00:00,Preventive,Electrical Failure,3.0,85570
M00245,E018,2026-05-01 08:00:00,2026-05-01 10:00:00,Corrective,Routine,2.0,41442
M00246,E004,2026-04-05 23:00:00,2026-04-06 04:00:00,Preventive,Routine,5.0,12769
M00247,QC03,2026-08-11 21:00:00,2026-08-12 09:00:00,Preventive,Electrical Failure,12.0,54575
M00248,E010,2026-02-18 11:00:00,2026-02-18 16:00:00,Corrective,Routine,5.0,11637
M00249,E007,2026-01-05 06:00:00,2026-01-05 17:00:00,Corrective,Mechanical Wear,11.0,73006
M00250,E006,2025-04-17 18:00:00,2025-04-18 05:00:00,Corrective,Routine,11.0,93186
M00251,E002,2026-03-15 03:00:00,2026-03-15 05:00:00,Preventive,Electrical Failure,2.0,10728
M00252,E005,2025-03-04 09:00:00,2025-03-04 14:00:00,Preventive,Electrical Failure,5.0,84464
M00253,E011,2025-05-07 07:00:00,2025-05-07 18:00:00,Corrective,Electrical Failure,11.0,91816
M00254,E016,2025-12-11 21:00:00,2025-12-12 02:00:00,Preventive,Mechanical Wear,5.0,22895
M00255,E001,2026-04-26 15:00:00,2026-04-26 22:00:00,Preventive,Routine,7.0,61993
M00256,QC03,2025-12-09 00:00:00,2025-12-09 09:00:00,Preventive,Routine,9.0,14012
M00257,QC03,2025-04-03 06:00:00,2025-04-03 10:00:00,Preventive,Hydraulic Fault,4.0,53119
M00258,E013,2026-05-03 10:00:00,2026-05-03 21:00:00,Corrective,Electrical Failure,11.0,26056
M00259,E006,2026-05-25 10:00:00,2026-05-25 15:00:00,Corrective,Mechanical Wear,5.0,80220
M00260,E001,2026-09-04 18:00:00,2026-09-05 00:00:00,Corrective,Routine,6.0,35738
M00261,E006,2026-09-17 21:00:00,2026-09-18 02:00:00,Preventive,Routine,5.0,44054
M00262,E019,2026-07-11 00:00:00,2026-07-11 02:00:00,Corrective,Hydraulic Fault,2.0,84268
