arrival_date	year	month	state	district	market	commodity	variety	grade	modal_price	stddev_7d	avg_7d	cv_7d	volatility_band_7d	stddev_30d	avg_30d	cv_30d	date_commodity_key
2023-06-09	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13000	3001.87	11853.14	25.33	High	2475.37	12452.91	19.88	2023-06-09_Ajwan
2023-06-11	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12940	457.51	12969.57	3.53	Low	2364.36	12493.5	18.92	2023-06-11_Ajwan
2023-06-12	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13005	446.28	12940.71	3.45	Low	2268.14	12532.85	18.1	2023-06-12_Ajwan
2023-06-15	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13065	372.44	12874.29	2.89	Low	2183.8	12570.86	17.37	2023-06-15_Ajwan
2023-06-16	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12505	396.96	12838.57	3.09	Low	2104.43	12566.47	16.75	2023-06-16_Ajwan
2023-06-17	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12815	352.37	12775.71	2.76	Low	2034.02	12582	16.17	2023-06-17_Ajwan
2023-06-18	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12630	211.93	12851.43	1.65	Low	1969.46	12584.82	15.65	2023-06-18_Ajwan
2023-06-19	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13960	473.41	12988.57	3.64	Low	1937.96	12661.22	15.31	2023-06-19_Ajwan
2023-06-21	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13880	578.9	13122.86	4.41	Low	1904	12725.37	14.96	2023-06-21_Ajwan
2023-06-22	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14130	686.83	13283.57	5.17	Medium	1879.65	12795.6	14.69	2023-06-22_Ajwan
2023-06-23	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13210	681.3	13304.29	5.12	Medium	1834.28	12815.33	14.31	2023-06-23_Ajwan
2023-06-25	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15355	930.16	13711.43	6.78	Medium	1870.17	12930.77	14.46	2023-06-25_Ajwan
2023-06-26	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14190	851.14	13907.86	6.12	Medium	1845.94	12985.52	14.22	2023-06-26_Ajwan
2023-06-27	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16250	1026.91	14425	7.12	Medium	1924.42	13121.54	14.67	2023-06-27_Ajwan
2023-06-28	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16255	1204.68	14752.86	8.17	Medium	1985.4	13246.88	14.99	2023-06-28_Ajwan
2023-06-29	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15380	1155.96	14967.14	7.72	Medium	1989.76	13328.92	14.93	2023-06-29_Ajwan
2023-06-30	2023	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15755	1122.51	15199.29	7.39	Medium	2006.21	13418.78	14.95	2023-06-30_Ajwan
2023-07-02	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14380	824.48	15366.43	5.37	Medium	1977.07	13453.11	14.7	2023-07-02_Ajwan
2023-07-03	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16250	889.26	15494.29	5.74	Medium	2009.72	13549.55	14.83	2023-07-03_Ajwan
2023-07-04	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16800	793.23	15867.14	5	Medium	2062	13657.9	15.1	2023-07-04_Ajwan
2023-07-06	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15505	783.22	15760.71	4.97	Low	2089.42	13716.23	15.23	2023-07-06_Ajwan
2023-07-07	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15005	794.16	15582.14	5.1	Medium	2102.64	13758.07	15.28	2023-07-07_Ajwan
2023-07-09	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	19800	1767.42	16213.57	10.9	Medium	2372.25	13972.07	16.98	2023-07-09_Ajwan
2023-07-10	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14990	1823.27	16104.29	11.32	Medium	2373.72	14034.23	16.91	2023-07-10_Ajwan
2023-07-12	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15350	1703.3	16242.86	10.49	Medium	1684.35	14375.07	11.72	2023-07-12_Ajwan
2023-07-13	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16250	1703.3	16242.86	10.49	Medium	1703.11	14476.5	11.76	2023-07-13_Ajwan
2023-07-14	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16000	1686.44	16128.57	10.46	Medium	1715.43	14558.83	11.78	2023-07-14_Ajwan
2023-07-16	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14875	1741.18	16038.57	10.86	Medium	1681.9	14629.5	11.5	2023-07-16_Ajwan
2023-07-18	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14945	1747.26	16030	10.9	Medium	1662.46	14685.83	11.32	2023-07-18_Ajwan
2023-07-21	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14880	572.86	15327.14	3.74	Low	1589.22	14778.5	10.75	2023-07-21_Ajwan
2023-07-24	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15005	571.41	15329.29	3.73	Low	1553.61	14845.33	10.47	2023-07-24_Ajwan
2023-07-30	2023	7	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14250	701.27	15172.14	4.62	Low	1516.17	14889	10.18	2023-07-30_Ajwan
2023-08-11	2023	8	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15000	515.64	14993.57	3.44	Low	1473.85	14955.5	9.85	2023-08-11_Ajwan
2023-08-13	2023	8	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14755	263.9	14815.71	1.78	Low	1430.77	15011.83	9.53	2023-08-13_Ajwan
2023-08-18	2023	8	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15000	272.67	14833.57	1.84	Low	1350.28	15095	8.95	2023-08-18_Ajwan
2023-08-19	2023	8	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	6125	3295.44	13573.57	24.28	High	2089.75	14872	14.05	2023-08-19_Ajwan
2023-09-19	2023	9	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	5925	4291.42	12294.29	34.91	High	2627.23	14648.5	17.94	2023-09-19_Ajwan
2023-10-09	2023	10	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	5850	4702.92	10986.43	42.81	High	3078.94	14378.17	21.41	2023-10-09_Ajwan
2023-10-10	2023	10	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13230	4599.62	10840.71	42.43	High	3084.84	14356.5	21.49	2023-10-10_Ajwan
2023-11-02	2023	11	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13710	4427.84	10656.43	41.55	High	3086.86	14342.5	21.52	2023-11-02_Ajwan
2023-11-05	2023	11	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12500	4153.48	10334.29	40.19	High	3098.54	14318.83	21.64	2023-11-05_Ajwan
2024-01-12	2024	1	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12500	3775.74	9977.14	37.84	High	3109.44	14223.67	21.86	2024-01-12_Ajwan
2024-02-27	2024	2	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13840	3585.08	11079.29	32.36	High	3110.23	14212	21.88	2024-02-27_Ajwan
2024-02-28	2024	2	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	2879.98	12232.86	23.54	High	3086.43	14137	21.83	2024-02-28_Ajwan
2024-02-29	2024	2	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15750	1110.07	13647.14	8.13	Medium	3075.84	14120.17	21.78	2024-02-29_Ajwan
2024-03-01	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15130	1218.11	13918.57	8.75	Medium	3072.64	14111.83	21.77	2024-03-01_Ajwan
2024-03-03	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16255	1494.03	14282.14	10.46	Medium	3083.2	14128.5	21.82	2024-03-03_Ajwan
2024-03-04	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15915	1367.29	14770	9.26	Medium	3100.21	14179.67	21.86	2024-03-04_Ajwan
2024-03-10	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16425	1048.99	15330.71	6.84	Medium	3104.4	14185.5	21.88	2024-03-10_Ajwan
2024-03-12	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17905	1200.44	15911.43	7.54	Medium	3142.81	14222.33	22.1	2024-03-12_Ajwan
2024-03-13	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17880	1058.1	16465.71	6.43	Medium	3205.52	14301.5	22.41	2024-03-13_Ajwan
2024-03-14	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17000	1022.05	16644.29	6.14	Medium	3241.12	14368	22.56	2024-03-14_Ajwan
2024-03-15	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16000	844.73	16768.57	5.04	Medium	3092.35	14241.33	21.71	2024-03-15_Ajwan
2024-03-17	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	19200	1203.5	17189.29	7	Medium	3220.37	14381.67	22.39	2024-03-17_Ajwan
2024-03-19	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17500	1064.92	17415.71	6.11	Medium	3266.26	14453.33	22.6	2024-03-19_Ajwan
2024-03-20	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	18800	1074.96	17755	6.05	Medium	3346.81	14538.33	23.02	2024-03-20_Ajwan
2024-03-21	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17500	1076.44	17697.14	6.08	Medium	3380.44	14588.33	23.17	2024-03-21_Ajwan
2024-03-22	2024	3	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	17505	1075.15	17643.57	6.09	Medium	3421.98	14676	23.32	2024-03-22_Ajwan
2024-04-02	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14800	1522.94	17329.29	8.79	Medium	3421.69	14671.17	23.32	2024-04-02_Ajwan
2024-04-03	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14450	1830.12	17107.86	10.7	Medium	3421.68	14656.83	23.35	2024-04-03_Ajwan
2024-04-04	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15005	1714.01	16508.57	10.38	Medium	3421.68	14656.83	23.35	2024-04-04_Ajwan
2024-04-07	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16375	1657.36	16347.86	10.14	Medium	3434.94	14727.67	23.32	2024-04-07_Ajwan
2024-04-09	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16400	1268.07	16005	7.92	Medium	3448.25	14774.33	23.34	2024-04-09_Ajwan
2024-04-11	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16800	1152.89	15905	7.25	Medium	3468.01	14842.5	23.37	2024-04-11_Ajwan
2024-04-19	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16000	922	15690	5.88	Medium	3474.38	14875.83	23.36	2024-04-19_Ajwan
2024-04-21	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15000	892.44	15718.57	5.68	Medium	3056.26	15171.67	20.14	2024-04-21_Ajwan
2024-04-25	2024	4	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15500	714.11	15868.57	4.5	Low	2508.13	15490.83	16.19	2024-04-25_Ajwan
2024-05-02	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14500	831.72	15796.43	5.27	Medium	1741.71	15779.17	11.04	2024-05-02_Ajwan
2024-05-09	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	1019.57	15457.14	6.6	Medium	1708.2	15804.83	10.81	2024-05-09_Ajwan
2024-05-21	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16000	967.82	15400	6.28	Medium	1661.9	15881.17	10.46	2024-05-21_Ajwan
2024-05-22	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	16000	809.17	15285.71	5.29	Medium	1534.31	15997.83	9.59	2024-05-22_Ajwan
2024-05-23	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15255	746.1	15179.29	4.92	Low	1393.75	16089.67	8.66	2024-05-23_Ajwan
2024-05-28	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14500	788.84	15107.86	5.22	Medium	1361.85	16111.67	8.45	2024-05-28_Ajwan
2024-05-29	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14500	796.5	14965	5.32	Medium	1337.97	16128.33	8.3	2024-05-29_Ajwan
2024-05-30	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14600	787.61	14979.29	5.26	Medium	1365.38	16090	8.49	2024-05-30_Ajwan
2024-05-31	2024	5	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14500	702.02	15050.71	4.66	Low	1385.35	16069	8.62	2024-05-31_Ajwan
2024-06-04	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	656.82	14765	4.45	Low	1435.19	15993.83	8.97	2024-06-04_Ajwan
2024-06-05	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	12100	999.38	14207.86	7.03	Medium	1601.77	15866.67	10.1	2024-06-05_Ajwan
2024-06-06	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	886.41	14028.57	6.32	Medium	1633.49	15785.83	10.35	2024-06-06_Ajwan
2024-06-07	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14050	862.51	13964.29	6.18	Medium	1612.53	15657.33	10.3	2024-06-07_Ajwan
2024-06-11	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13800	830.02	13864.29	5.99	Medium	1590.51	15521.33	10.25	2024-06-11_Ajwan
2024-06-12	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14400	803.49	13835.71	5.81	Medium	1577.95	15434.67	10.22	2024-06-12_Ajwan
2024-06-13	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14300	779.12	13807.14	5.64	Medium	1587.44	15378	10.32	2024-06-13_Ajwan
2024-06-14	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15000	902.31	13950	6.47	Medium	1414.54	15238	9.28	2024-06-14_Ajwan
2024-06-19	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	397.76	14221.43	2.8	Low	1365.01	15121.33	9.03	2024-06-19_Ajwan
2024-06-20	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14400	389.29	14278.57	2.73	Low	1179.95	14974.67	7.88	2024-06-20_Ajwan
2024-06-21	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14500	382.35	14342.86	2.67	Low	1081.58	14874.67	7.27	2024-06-21_Ajwan
2024-06-24	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	13500	461.88	14300	3.23	Low	988.92	14741.17	6.71	2024-06-24_Ajwan
2024-06-25	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	14000	472.08	14242.86	3.31	Low	998.02	14714.5	6.78	2024-06-25_Ajwan
2024-06-26	2024	6	Gujarat	Ahmedabad	Mandal	Ajwan	Ajwan	FAQ	15000	553.34	14342.86	3.86	Low	998.05	14732.83	6.77	2024-06-26_Ajwan
